plant	fruit perimeter	fruit area	fruit mid-height width	fruit widest width	fruit length mid-width	fruit longest length	fruit shape index external	fruit shape index external 2	proximal fruit end blockiness 5%	distal fruit end blockiness 5%	fruit shape triangle 5%	proximal fruit end blockiness 10%	distal fruit end blockiness 10%	fruit shape triangle 10%	proximal fruit end blockiness 20%	distal fruit end blockiness 20%	fruit shape triangle 20%	proximal fruit end blockiness 30%	distal fruit end blockiness 30%	fruit shape triangle 30%	distal angle micro 2%	distal angle micro 5%	distal angle macro 10%	distal angle macro 15%	distal angle macro 20%	distal angle macro 25%	proximal fruit end height	proximal fruit end angle	proximal fruit end indentation	distal fruit end indentation	distal fruit end protrusion	obovoid	ovoid	vertical asymmetry	horizontal asymmetry obovoid	horizontal asymmetry ovoid	heart shape	fruit shape ellipsoid	fruit shape circular	fruit shape rectangular
03S10-1 test01	76.71	420.72	21.89	21.93	23.63	23.81	1.09	1.08	0.54	0.44	1.23	0.68	0.6	1.13	0.85	0.8	1.07	0.95	0.91	1.04	174.54	163.59	144.11	121.16	98.29	77.48	0	184.45	0	0	0	0	0.17	1.48	0	2.75	0.22	0.99	0.98	0.52
03S10-2 test01	83.24	482.62	26.29	26.36	21.85	22.34	0.85	0.83	0.57	0.48	1.18	0.71	0.63	1.12	0.87	0.82	1.06	0.95	0.92	1.04	175.35	192.37	156.99	140.52	120.76	100.26	0.02	188.67	0	0	0	0	0.15	2.16	0.4	2.9	0.51	0.97	0.96	0.54
03S10-3 test01	57.71	232.42	16.29	16.38	17.33	17.44	1.07	1.06	0.54	0.44	1.22	0.68	0.61	1.12	0.86	0.81	1.06	0.95	0.93	1.02	171.99	163.16	143.87	122.82	102.94	82.33	0	180.99	0	0	0	0.01	0.08	0.64	0.11	1.43	0.16	0.99	0.98	0.53
03S10-4 test01	71.08	360.42	20.7	20.7	20.7	21.25	1.03	1	0.56	0.49	1.14	0.7	0.65	1.08	0.86	0.84	1.02	0.94	0.93	1.01	184.41	82.43	154.56	131.19	107.65	85.23	0.01	190.71	0	0	0	0	0.2	2.71	0	1.96	0.36	0.97	0.99	0.53
03S10-5 test01	85.26	500.51	26.32	26.41	22.27	23.01	0.87	0.85	0.61	0.47	1.31	0.74	0.62	1.19	0.88	0.8	1.1	0.96	0.91	1.06	176.37	172.39	157.04	137.95	116.15	94.6	0.02	196.35	0	0	0	0	0.14	0.94	0	4.53	0.55	0.97	0.97	0.54
03S10-6 test01	67.6	315.39	18.48	18.57	20.73	20.96	1.13	1.12	0.53	0.45	1.19	0.67	0.62	1.09	0.84	0.82	1.03	0.94	0.93	1.02	175.58	189.58	143.19	119.8	97.58	76.44	0.01	185.59	0	0	0	0.03	0.08	1.57	0.16	1.95	0.21	0.99	0.97	0.52
03S10-7 test01	66.84	312.99	18.91	19	20.04	20.34	1.07	1.06	0.57	0.45	1.27	0.7	0.59	1.18	0.87	0.79	1.1	0.96	0.91	1.06	188.02	171.67	142.19	118.18	97.6	78.4	0.01	185.6	0	0	0	0	0.22	0.68	0.11	3.13	0.22	0.98	0.98	0.53
03S10-8 test01	82.17	469.49	19.74	19.87	27.7	28.02	1.4	1.39	0.58	0.44	1.37	0.72	0.62	1.19	0.87	0.82	1.07	0.95	0.93	1.03	157.31	149.58	131.04	102.8	77.93	56.79	0	183.05	0	0	0	0.01	0.14	2.3	0.2	4.7	0.12	0.97	0.91	0.53
03S10-10 test01	65.36	302.96	17.37	17.4	20.93	21.1	1.22	1.21	0.58	0.47	1.23	0.72	0.62	1.17	0.88	0.81	1.09	0.96	0.92	1.04	172.82	170.35	139.92	110.68	86.51	66.27	0	181.37	0	0	0	0	0.16	1.35	0	2.95	0.15	0.98	0.94	0.54
03S10-12 test01	62.85	287.8	17.32	17.36	20.13	20.18	1.17	1.17	0.49	0.47	1.06	0.65	0.62	1.05	0.84	0.82	1.02	0.94	0.93	1.01	174.69	166.98	142.82	117.42	94.74	73.6	0	181.65	0	0	0	0.03	0.1	0.9	0.49	1.33	0.16	0.99	0.96	0.52
03S10-13 test01	66.46	297.96	15.83	15.89	23.58	23.78	1.5	1.49	0.48	0.42	1.14	0.63	0.57	1.11	0.82	0.78	1.05	0.92	0.91	1.01	195.46	157.54	114.42	87.19	69.49	55.59	0	180.76	0	0	0	0.05	0.09	1.87	0.63	2.46	0.1	0.98	0.89	0.49
03S10-15 test01	77.48	416.04	23.32	23.36	21.6	21.96	0.94	0.93	0.58	0.45	1.28	0.71	0.61	1.17	0.86	0.8	1.08	0.95	0.91	1.04	172.18	147.1	151.31	131.44	110.42	90.21	0.01	187.94	0	0	0	0	0.12	1.38	0	3.01	0.35	0.98	0.99	0.53
03S10-16 test01	100.98	697.67	25.94	26.11	32.06	32.77	1.25	1.23	0.6	0.45	1.37	0.72	0.62	1.17	0.86	0.82	1.05	0.93	0.93	1.01	160.97	99.44	141.31	113.41	88.63	63.31	0	184.39	0	0	0	0.19	0.03	2.56	0	5.18	0.19	0.97	0.94	0.55
03S10-17 test01	82.86	488.3	22.81	22.89	25.27	25.76	1.13	1.11	0.6	0.47	1.31	0.75	0.62	1.21	0.89	0.81	1.1	0.96	0.92	1.04	191.77	195.44	144.57	117.59	95.18	72.91	0.01	185.72	0	0	0	0.02	0.18	2.99	0.38	4.85	0.27	0.96	0.96	0.55
03S10-18 test01	102.24	711.02	31.41	31.55	25.38	27.27	0.87	0.81	0.62	0.52	1.21	0.77	0.66	1.18	0.9	0.82	1.1	0.97	0.92	1.06	187.28	149.66	165.62	145.58	120.46	93.46	0.06	208.66	0.01	0	0	0	0.28	5.3	0	7.66	1.27	0.9	0.96	0.56
03S10-19 test01	113.17	849.1	27.77	28.28	36.58	37.68	1.33	1.32	0.68	0.22	3.07	0.83	0.5	1.65	0.96	0.73	1.32	1.01	0.87	1.17	94.44	140.32	130.41	93.76	72.65	57.62	0.02	201.13	0	0	0	0	0.55	1.57	0	21.25	0.62	0.93	0.92	0.53
