accession_name	pedigree
I050024	I920326/I930320
I050099	I950379/SM 2688
I050125	TMEB 833/I011442
I050127	TMEB 1295/I011442
I050128	TMEB 693/TMEB 1
I051814	I940561/TMEB 419
I050231	I940561/I8800158
I050286	I950379/I30572
I050303	I950379/I8600006
I050311	I950379/I8800158
I050327	I961089A/I30572
I050741	TMEB 465/.
I050998	I974763/TMEB 3
I051274	I974763/I030299
I051553	I961089A/?
I051570	I997578/?
I051601	I011551/?
I051740	I950967/?
I30572	58308/BRANCA DE SANTA CATARINA
I061101	I011649/.
I061348	I9001554/I011659
I061447	I940561/I011368
I061475	I940561/I011635
I061519	I961089A/I011368
I061593	I011273/I011224
I061630	I011277/I961089A
I061649	I011277/I011663
I061679	I011371/I992987
I061766	I011442/I011368
I061834	I011610/I011442
I062357	I993073/I950379
I062480	I961089A/CM9578-3
I9102324	TMEB 1/?
I070962	I011610/.
I070749	I011649/I050151
I070553	I011663/I011335
I070632	I011649/I974045
I011371	I940561/I940263
I070498	I011413/I011335
I070576	I011371/I990067
I070520	I011442/I011412
I070539	I011610/I011442
I070824	I011646/I051640
I070874	I011371/.
I070628	I011649/I974045
I060889	I011371/.
I070952	I011442/.
I070525	I011610/I961089A
I070534	I011610/I011442
I061635	I011277/I011371
I061404	I940330/I011368
I011371	I940561/I940263
I061155	I011371/.
I061577	I011273/I961089A
I061640	I011277/I011371
I061673	I011371/I940006
I061744	I011442/ICB5-10(80411)
I061856	I011646/I961089A
I061911	I011649/I011371
I062021	I011610/I940561
I062052	I011115/I011371
I062116	I9001554/I011659
I062231	I011442/I011659
I070614	I011412/FBA-3
I070620	I011649/MMI984019
I070649	I011442/MMI964019
I070675	I011371/MMI964019
I070751	I011649/I051743
I070752	I011649/I051743
I070756	I950379/I051351
I070831	I9001554/I051814
I070835	I011115/I050227
I070974	I011649/.
I070982	I011649/.
I070983	I011649/.
I051599	I011423/?
I011610	I930184/I940330
I050303	I950379/I8600006
I9001554	I30572/1-52
I050127	TMEB 1295/I011442
I011797	I950379/TMEB 117
I011649	I8902195/I940330
I011646	I8902195/I940330
I051646	I011371/?
I051601	I011551/?
I050100	I950379/SM 2688
I011206	I950971/NR 8421
I940006	IS9102322/?
I011224	I9001554/I960035
