	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
101-1	101	2009_ca_101_fruit_t.jpg	1	12.22345	10.41465	3.3401	3.3528	3.8608	3.9116	1.1667	1.1559	0.84986588	0.7978932	1.06513738931476	0.97743927	0.9589	0.5069	0.3558	0.0114	207.78278816	99.599231	0.0184	169.37648226	90.6536068	0	0	0	0.111	3.85183022	0	4.4106	0.5060426	0.77819396	0.8864	0.8864	1.1635	0.40613274	
101-2	101	2009_ca_101_fruit_t.jpg	2	14.11645	13.778525	3.9243	3.937	4.2164	4.318	1.0968	1.0744	0.85597682	0.81322776	1.05256714305965	0.97875796	0.9727	0.532	0.6359	0.0251	216.16766784	104.4650486	0.0272	175.69404948	94.92806136	0.0001	0	0	0.1333	2.5417324	0	3.0194	0.4752247	0.77286256	0.8889	0.8859	1.0732	0.40273098	
101-3	101	2009_ca_101_fruit_t.jpg	3	14.9639	15.30125	3.9624	3.9624	4.7244	4.7752	1.2051	1.1923	0.84886906	0.81878376	1.03674388949776	0.96975984	0.9473	0.5272	0	0.0106	208.71087948	99.4002814	0.0093	171.75412742	97.47192192	0.0003	0	0.1027	0	5.2381064	3.3923	0	0.49800654	0.77875516	0.8889	0.8862	1.1935	0.40510326	
101-4	101	2009_ca_101_fruit_t.jpg	4	12.9103	11.697225	3.6068	3.6449	4.064	4.0767	1.1185	1.1268	0.82325512	0.80856072	1.01817352690593	0.96099443	0.9669	0.4606	0	0.0089	194.67489404	90.8482932	0.0082	170.752032	96.12115764	0.0001	0	0.1231	0	6.7048875	7.4266	0	0.5068228	0.78476	0.8951	0.8858	1.1327	0.40933308	
101-5	101	2009_ca_101_fruit_t.jpg	5	16.2021	16.69255	3.9497	4.0005	5.1562	5.2197	1.3048	1.3055	0.84145792	0.82172844	1.02400973246101	0.95091033	0.9238	0.4866	0	0.0252	163.33050616	109.5071452	0.0143	174.01177122	87.88157812	0	0	0.1596	0	6.92986862	9.8535	0	0.55379084	0.77926024	0.8901	0.8877	1.3065	0.40557324	
101-6	101	2009_ca_101_fruit_t.jpg	6	13.24925	12.450775	3.6957	3.7084	4.0386	4.1402	1.1164	1.0928	0.87179592	0.78694788	1.10781913536637	0.97177666	0.9681	0.5263	0.5209	0.0188	208.29960312	104.6155538	0.0233	169.54224596	89.9748836	0	0	0	0.1834	3.71005812	0	7.0034	0.43847728	0.7743778	0.8912	0.8881	1.0948	0.4032681	
101-7	101	2009_ca_101_fruit_t.jpg	7	14.0223	12.966425	3.4798	3.4925	4.7752	4.8641	1.3927	1.3723	0.85055932	0.744	1.14322489247312	0.96975984	0.9153	0.4963	0.6976	0.0284	204.37219844	98.1659836	0.0172	165.5468942	81.6556442	0.0001	0	0	0.1205	4.11026492	0	8.5511	0.5009713	0.77651036	0.8902	0.8876	1.3761	0.41208582	
103-1	103	2009_ca_103_fruit_t.jpg	1	16.12825	17.943675	4.4831	4.5085	4.9657	5.0546	1.1211	1.1076	0.83521696	0.80300472	1.04011463344823	0.97495703	0.9713	0.505	0	0.022	215.47550752	105.2559767	0.0327	171.39233698	90.39150252	0	0	0.0962	0	4.47408226	4.3531	0	0.48021798	0.77684708	0.8889	0.8889	1.1143	0.40711746	
103-2	103	2009_ca_103_fruit_t.jpg	2	15.75775	17.022875	4.5212	4.5339	4.6228	4.8133	1.0616	1.0225	0.85840386	0.7517784	1.14183097040298	0.94889351	0.9853	0.5132	0.9834	0.0425	228.07840124	111.4083724	0.081	164.7070423	89.58063852	0.0001	0	0	0.1334	5.00918502	0	10.191	0.48661562	0.76635264	0.8896	0.8869	1.0211	0.40626702	
