	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
101-1	101	2010_ca_101_fruit_C.jpg	1	.	.	137.262	86.3536	56.3521	91.1127	43.3555	20.8973	24.9551	50.0573	32.5492	data normalized to color checker
101-2	101	2010_ca_101_fruit_C.jpg	2	.	.	134.6897	61.4282	45.0976	84.6047	37.3789	34.2136	23.6199	34.6198	41.5749	data normalized to color checker
101-3	101	2010_ca_101_fruit_C.jpg	3	.	.	140.3903	85.9181	55.7754	92.3132	43.6636	22.6954	25.833	48.6994	34.3864	data normalized to color checker
101-4	101	2010_ca_101_fruit_C.jpg	4	.	.	134.4112	54.8286	41.1913	82.6341	36.0112	37.5426	24.1879	32.7928	44.6598	data normalized to color checker
101-5	101	2010_ca_101_fruit_C.jpg	5	.	.	131.7169	64.2752	46.9889	84.0939	37.4779	31.3855	22.53	35.6726	38.6349	data normalized to color checker
103-1	103	2010_ca_103_fruit_C.jpg	1	.	.	136.669	75.2157	51.1074	88.3654	40.6991	27.141	24.4753	42.0436	36.5469	data normalized to color checker
103-2	103	2010_ca_103_fruit_C.jpg	2	.	.	130.803	61.8272	45.1125	82.7836	36.806	32.2776	22.7213	35.1431	39.4728	data normalized to color checker
103-3	103	2010_ca_103_fruit_C.jpg	3	.	.	131.931	67.7975	45.0372	83.2791	38.2528	29.1489	24.6655	40.2376	38.1844	data normalized to color checker
103-4	103	2010_ca_103_fruit_C.jpg	4	.	.	134.5317	69.6849	46.7324	85.3001	39.0821	29.3212	24.7963	40.2205	38.4004	data normalized to color checker
103-5	103	2010_ca_103_fruit_C.jpg	5	.	.	130.8784	66.6049	48.887	84.5946	37.8556	29.7672	21.9444	36.3977	36.9816	data normalized to color checker
