	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
101-6	101	2010_ca_101-001_fruit_t.jpg	6	17.4234	20.9058	5.3721	5.3975	4.699	4.9276	0.9129	0.8747	0.7234	0.5059	1.4299	0.9335	0.9663	0.4815	0.1596	0.001	170.6979	175.22	0.003	150.3518	135.0032	0	0	0	0.16	11.0233	0	10.0731	0.4794	0.7649	0.8943	0.8889	0.881	0.3974	
101-7	101	2010_ca_101-001_fruit_t.jpg	7	13.8863	13.2611	4.1402	4.1656	3.7719	3.8481	0.9238	0.911	0.727	0.7025	1.0349	0.9625	0.9878	0.5651	0.1249	0	167.2713	170.0752	0	174.7412	158.9102	0	0	0	0.0996	2.1523	0	2.1957	0.505	0.7815	0.8906	0.8839	0.9077	0.4139	
101-8	101	2010_ca_101-001_fruit_t.jpg	8	19.7118	27.1751	5.6515	5.6642	5.7912	5.9309	1.0471	1.0247	0.7169	0.5978	1.1992	0.9552	0.9802	0.504	0.1321	0	155.4349	141.9201	0	157.7842	142.2859	0	0	0	0.1284	8.8498	0	9.1888	0.4775	0.7811	0.89	0.8878	1.0282	0.3993	
101-9	101	2010_ca_101-001_fruit_t.jpg	9	25.8931	43.4841	8.0391	8.0518	6.3119	6.6929	0.8312	0.7852	0.7204	0.6477	1.1122	0.9404	0.9468	0.5502	0.1276	0	144.5333	120.665	0	159.6104	131.9233	0	0	0	0.1104	8.6084	0	5.8515	0.4991	0.7529	0.8899	0.8859	0.7857	0.4186	
101-10	101	2010_ca_101-001_fruit_t.jpg	10	24.9787	41.6822	7.7724	7.7851	6.3119	6.7945	0.8728	0.8121	0.683	0.6275	1.0885	0.9192	0.9526	0.5155	0	0	172.5065	202.0863	0	160.4655	147.0266	0	0	0.1161	0	14.5749	10.6552	0	0.5178	0.7416	0.8919	0.8859	0.8115	0.4127	
101-1	101	2010_ca_101_fruit_t.jpg	1	25.3214	42.3483	7.5184	7.5565	6.6167	6.8072	0.9008	0.8801	0.7736	0.652	1.1865	0.9396	0.981	0.562	0.1393	0	191.9066	248.0353	0.0124	167.7673	152.3958	0	0	0	0.1573	4.3458	0	11.197	0.472	0.7776	0.8908	0.8889	0.8814	0.4127	
101-2	101	2010_ca_101_fruit_t.jpg	2	25.6796	42.9689	7.7343	7.7978	6.1595	6.6421	0.8518	0.7964	0.7816	0.7011	1.1148	0.8908	0.9575	0.5781	0	0.1086	197.2282	207.9516	0.1414	167.003	159.3445	0.0003	0	0	0.1258	6.9368	0	9.8744	0.4933	0.7395	0.8894	0.8853	0.7942	0.4469	
101-3	101	2010_ca_101_fruit_t.jpg	3	23.2124	35.9973	6.9723	6.985	5.842	6.2738	0.8982	0.8379	0.7359	0.6903	1.066	0.9161	0.9716	0.5541	0	0.0615	218.3155	205.1646	0.1279	176.1718	162.833	0.0003	0	0.0895	0	8.2535	8.7304	0	0.4757	0.7465	0.891	0.8889	0.8402	0.4328	
101-4	101	2010_ca_101_fruit_t.jpg	4	31.8761	57.9897	8.8138	9.2202	7.4422	8.0264	0.8705	0.8444	0.6988	0.6988	1	0.9046	0.971	0.4956	0	0	216.1184	188.075	0	166.7502	161.531	0.0052	0	0.1967	0	18.2235	19.3421	0	0.6725	0.7417	0.8914	0.8914	0.8448	0.4336	
101-5	101	2010_ca_101_fruit_t.jpg	5	28.6007	47.1776	7.874	7.874	7.0866	7.3914	0.9387	0.9	0.7419	0.6081	1.2202	0.919	0.9756	0.5437	1.3655	0.0618	192.325	196.8441	0.0893	149.622	159.2976	0	0	0	0.114	9.1635	0	11.5121	0.4966	0.7676	0.8902	0.8884	0.8992	0.406	
