	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	image files	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
541-1	541	2010_ca_11541_fruit_C.jpg	1	0.847787	93.0409	128.1068	48.9064	37.6707	78.0048	33.7587	38.0155	23.1302	31.3181	44.4993	data normalized to color checker
541-2	541	2010_ca_11541_fruit_C.jpg	2	0.262931	82.2168	136.0444	57.6538	40.5939	83.1212	36.7232	36.6763	25.4386	34.7451	44.6349	data normalized to color checker
541-3	541	2010_ca_11541_fruit_C.jpg	3	0.848795	87.5836	131.1394	53.1788	38.0314	79.6065	34.994	36.9797	24.5382	33.5666	44.3804	data normalized to color checker
541-4	541	2010_ca_11541_fruit_C.jpg	4	0.00324749	94.0409	122.5442	49.059	36.7732	74.9707	32.7233	35.6918	22.0462	31.703	41.9516	data normalized to color checker
541-5	541	2010_ca_11541_fruit_C.jpg	5	1.40418	82.5779	127.0006	54.3961	37.4684	77.3946	34.5705	34.4922	24.1664	35.0164	42.1156	data normalized to color checker
542-1	542	2010_ca_11542_fruit_C.jpg	1	0.353016	83.5259	137.7228	56.3661	39.7385	83.5066	36.7753	37.9695	26.0923	34.4965	46.0705	data normalized to color checker
542-2	542	2010_ca_11542_fruit_C.jpg	2	0.434967	92.0627	132.6068	53.1788	40.4233	81.4202	35.3037	37.7717	23.6236	32.0232	44.5509	data normalized to color checker
542-3	542	2010_ca_11542_fruit_C.jpg	3	1.5251	52.1664	143.5322	73.5333	49.0511	90.626	41.1904	31.2501	26.6252	40.4311	41.0545	data normalized to color checker
542-4	542	2010_ca_11542_fruit_C.jpg	4	0.364841	67.5292	135.8883	60.9024	39.617	82.5896	37.2858	34.721	26.6802	37.5393	43.7879	data normalized to color checker
542-5	542	2010_ca_11542_fruit_C.jpg	5	0.628165	78.7994	137.838	59.7281	41.2978	84.2979	37.4052	36.2954	26.026	35.6429	44.6622	data normalized to color checker
543-1	543	2010_ca_11543_fruit_C.jpg	1	0.147018	92.0921	140.8961	55.5711	38.2297	84.2937	37.0618	39.7784	27.4038	34.5634	48.3041	data normalized to color checker
543-2	543	2010_ca_11543_fruit_C.jpg	2	0.00641149	99.2178	132.5854	47.8178	36.6439	79.632	34.2456	40.5204	24.5161	31.1752	47.3597	data normalized to color checker
543-3	543	2010_ca_11543_fruit_C.jpg	3	0.013162	95.859	131.2065	50.4024	37.4977	79.3878	34.4369	38.6135	24.1623	32.0362	45.5502	data normalized to color checker
543-4	543	2010_ca_11543_fruit_C.jpg	4	0.259413	92.441	133.5749	54.2905	40.4732	81.9005	35.6834	37.5559	24.0939	32.6821	44.6202	data normalized to color checker
543-5	543	2010_ca_11543_fruit_C.jpg	5	0.181559	96.9949	135.9564	47.4282	36.5282	81.1659	34.7781	41.9751	25.386	31.1649	49.0547	data normalized to color checker
544-1	544	2010_ca_11544_fruit_C.jpg	1	0.411411	61.6922	142.2612	65.6237	42.2191	86.8124	39.2976	34.8524	27.9079	38.6859	44.6491	data normalized to color checker
544-2	544	2010_ca_11544_fruit_C.jpg	2	0.950221	86.4283	132.4015	55.9775	38.6321	80.4843	35.7569	36.0033	25.1705	34.958	43.9294	data normalized to color checker
544-3	544	2010_ca_11544_fruit_C.jpg	3	0.348403	78.1866	135.9884	60.785	42.3374	83.9139	37.3349	35.0349	25.1352	35.6569	43.1187	data normalized to color checker
544-4	544	2010_ca_11544_fruit_C.jpg	4	0.322922	79.549	136.6346	61.6263	43.3731	84.7086	37.6155	34.8807	24.9477	35.5735	42.8842	data normalized to color checker
544-5	544	2010_ca_11544_fruit_C.jpg	5	0.668705	63.5792	144.0244	67.4698	44.6745	88.7969	39.9874	34.7067	27.4654	38.3566	44.2595	data normalized to color checker
545-1	545	2010_ca_11545_fruit_C.jpg	1	0.150734	98.7218	131.7292	48.8055	38.5415	80.1178	34.3234	39.7081	23.4858	30.6026	46.1337	data normalized to color checker
545-2	545	2010_ca_11545_fruit_C.jpg	2	1.266	75.2257	137.6523	63.3685	44.8819	85.8883	38.1609	34.3646	24.8457	35.867	42.4056	data normalized to color checker
545-3	545	2010_ca_11545_fruit_C.jpg	3	0.106057	96.6284	130.9031	49.9456	37.8345	79.4023	34.3182	38.7233	23.8019	31.5776	45.4535	data normalized to color checker
545-4	545	2010_ca_11545_fruit_C.jpg	4	0.364918	91.2388	135.2357	52.6397	39.1678	82.0613	35.6141	39.0256	24.8231	32.4593	46.2513	data normalized to color checker
545-5	545	2010_ca_11545_fruit_C.jpg	5	0.0178543	92.2762	134.6795	52.9194	39.0772	81.763	35.5417	38.6928	24.7528	32.6081	45.933	data normalized to color checker
546-1	546	2010_ca_11546_fruit_C.jpg	1	0.948279	76.2623	149.2012	60.4333	39.7037	88.8915	39.4214	40.4568	29.8535	36.424	50.2791	data normalized to color checker
546-2	546	2010_ca_11546_fruit_C.jpg	2	1.2535	73.6299	141.9177	61.6685	40.9777	86.0668	38.4897	36.8284	27.6842	36.9325	46.0733	data normalized to color checker
546-3	546	2010_ca_11546_fruit_C.jpg	3	0.84133	67.6564	143.0141	67.8852	46.0358	88.9641	39.893	34.1274	26.6506	37.9868	43.3006	data normalized to color checker
546-4	546	2010_ca_11546_fruit_C.jpg	4	0.736347	74.8988	139.1499	63.912	45.5478	86.9149	38.4796	34.7677	24.9541	35.6684	42.796	data normalized to color checker
546-5	546	2010_ca_11546_fruit_C.jpg	5	1.11867	74.3046	141.0108	62.9544	42.848	86.5184	38.5739	35.9024	26.7071	36.6448	44.7466	data normalized to color checker
