	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
541-1	541	2010_ca_11541_fruit_C.jpg	1	1.8184	0.445	0.2508	
541-2	541	2010_ca_11541_fruit_C.jpg	2	2.5432	0.4456	0.2551	
541-3	541	2010_ca_11541_fruit_C.jpg	3	1.8864	0.445	0.2516	
541-4	541	2010_ca_11541_fruit_C.jpg	4	1.8999	0.446	0.2544	
541-5	541	2010_ca_11541_fruit_C.jpg	5	1.6244	0.4455	0.2525	
542-1	542	2010_ca_11542_fruit_C.jpg	1	1.3954	0.444	0.252	
542-2	542	2010_ca_11542_fruit_C.jpg	2	3.4183	0.4444	0.2464	
542-3	542	2010_ca_11542_fruit_C.jpg	3	2.5945	0.4444	0.2514	
542-4	542	2010_ca_11542_fruit_C.jpg	4	1.9783	0.4441	0.248	
542-5	542	2010_ca_11542_fruit_C.jpg	5	1.244	0.4435	0.2548	
543-1	543	2010_ca_11543_fruit_C.jpg	1	2.4179	0.4441	0.2514	
543-2	543	2010_ca_11543_fruit_C.jpg	2	1.0298	0.4451	0.2516	
543-3	543	2010_ca_11543_fruit_C.jpg	3	2.0027	0.4441	0.2528	
543-4	543	2010_ca_11543_fruit_C.jpg	4	1.2463	0.4443	0.2458	
543-5	543	2010_ca_11543_fruit_C.jpg	5	1.2715	0.443	0.2488	
544-1	544	2010_ca_11544_fruit_C.jpg	1	1.805	0.4448	0.2532	
544-2	544	2010_ca_11544_fruit_C.jpg	2	1.3198	0.4449	0.2524	
544-3	544	2010_ca_11544_fruit_C.jpg	3	1.2059	0.4452	0.2542	
544-4	544	2010_ca_11544_fruit_C.jpg	4	1.4551	0.4442	0.2514	
544-5	544	2010_ca_11544_fruit_C.jpg	5	0.7961	0.4449	0.2547	
545-1	545	2010_ca_11545_fruit_C.jpg	1	1.6541	0.4457	0.2544	
545-2	545	2010_ca_11545_fruit_C.jpg	2	2.6114	0.447	0.252	
545-3	545	2010_ca_11545_fruit_C.jpg	3	1.9422	0.446	0.2519	
545-4	545	2010_ca_11545_fruit_C.jpg	4	3.0095	0.4456	0.2536	
545-5	545	2010_ca_11545_fruit_C.jpg	5	1.9319	0.4464	0.2527	
546-1	546	2010_ca_11546_fruit_C.jpg	1	1.7958	0.4462	0.2491	
546-2	546	2010_ca_11546_fruit_C.jpg	2	1.9976	0.445	0.2516	
546-3	546	2010_ca_11546_fruit_C.jpg	3	1.6865	0.4441	0.2534	
546-4	546	2010_ca_11546_fruit_C.jpg	4	1.31	0.4471	0.255	
546-5	546	2010_ca_11546_fruit_C.jpg	5	2.0311	0.4436	0.2535	
547-1	547	2010_ca_11547_fruit_C.jpg	1	1.3852	0.4451	0.2524	
547-2	547	2010_ca_11547_fruit_C.jpg	2	1.0654	0.4438	0.25	
547-3	547	2010_ca_11547_fruit_C.jpg	3	2.1723	0.4444	0.2508	
547-4	547	2010_ca_11547_fruit_C.jpg	4	1.9348	0.4446	0.253	
547-5	547	2010_ca_11547_fruit_C.jpg	5	1.7688	0.4445	0.2515	
548-1	548	2010_ca_11548_fruit_C.jpg	1	1.1289	0.4452	0.2492	
548-2	548	2010_ca_11548_fruit_C.jpg	2	2.0158	0.4444	0.25	
548-3	548	2010_ca_11548_fruit_C.jpg	3	2.259	0.4455	0.2472	
548-4	548	2010_ca_11548_fruit_C.jpg	4	2.166	0.4445	0.2545	
548-5	548	2010_ca_11548_fruit_C.jpg	5	1.9513	0.445	0.2508	
549-1	549	2010_ca_11549_fruit_C.jpg	1	1.8314	0.4432	0.2518	
549-2	549	2010_ca_11549_fruit_C.jpg	2	1.1108	0.4433	0.2512	
549-3	549	2010_ca_11549_fruit_C.jpg	3	1.5636	0.4432	0.2529	
549-4	549	2010_ca_11549_fruit_C.jpg	4	2.0318	0.4445	0.2522	
549-5	549	2010_ca_11549_fruit_C.jpg	5	4.4838	0.4437	0.25	
550-1	550	2010_ca_11550_fruit_C.jpg	1	2.2821	0.4452	0.2492	
550-2	550	2010_ca_11550_fruit_C.jpg	2	2.168	0.4446	0.2485	
550-3	550	2010_ca_11550_fruit_C.jpg	3	2.477	0.4441	0.2514	
550-4	550	2010_ca_11550_fruit_C.jpg	4	2.3465	0.4454	0.2517	
550-5	550	2010_ca_11550_fruit_C.jpg	5	1.8207	0.4439	0.25	
551-1	551	2010_ca_11551_fruit_C.jpg	1	2.716	0.4443	0.2514	
551-2	551	2010_ca_11551_fruit_C.jpg	2	2.4549	0.4445	0.2522	
551-3	551	2010_ca_11551_fruit_C.jpg	3	1.6916	0.441	0.25	
551-4	551	2010_ca_11551_fruit_C.jpg	4	2.3598	0.4441	0.2486	
551-5	551	2010_ca_11551_fruit_C.jpg	5	3.3917	0.4422	0.2481	
552-1	552	2010_ca_11552_fruit_C.jpg	1	1.1432	0.4433	0.2518	
552-2	552	2010_ca_11552_fruit_C.jpg	2	1.8244	0.4436	0.2525	
552-3	552	2010_ca_11552_fruit_C.jpg	3	1.365	0.4446	0.2522	
552-4	552	2010_ca_11552_fruit_C.jpg	4	1.0513	0.4431	0.25	
552-5	552	2010_ca_11552_fruit_C.jpg	5	1.1886	0.4434	0.2462	
553-1	553	2010_ca_11553_fruit_C.jpg	1	1.6918	0.4447	0.2516	
553-2	553	2010_ca_11553_fruit_C.jpg	2	0.8732	0.4435	0.2538	
553-3	553	2010_ca_11553_fruit_C.jpg	3	1.3713	0.4454	0.2517	
553-4	553	2010_ca_11553_fruit_C.jpg	4	1.9336	0.4448	0.2446	
553-5	553	2010_ca_11553_fruit_C.jpg	5	1.0265	0.4458	0.2565	
554-1	554	2010_ca_11554_fruit_C.jpg	1	1.7041	0.444	0.248	
554-2	554	2010_ca_11554_fruit_C.jpg	2	1.1725	0.4436	0.2525	
554-3	554	2010_ca_11554_fruit_C.jpg	3	2.5068	0.4442	0.2465	
554-4	554	2010_ca_11554_fruit_C.jpg	4	1.2246	0.444	0.2521	
554-5	554	2010_ca_11554_fruit_C.jpg	5	2.2011	0.4434	0.2512	
555-1	555	2010_ca_11555_fruit_C.jpg	1	2.2151	0.4436	0.2529	
555-2	555	2010_ca_11555_fruit_C.jpg	2	1.0312	0.4403	0.2506	
555-3	555	2010_ca_11555_fruit_C.jpg	3	1.8402	0.4441	0.2515	
555-4	555	2010_ca_11555_fruit_C.jpg	4	3.0237	0.4437	0.2507	
555-5	555	2010_ca_11555_fruit_C.jpg	5	1.533	0.4393	0.253	
556-1	556	2010_ca_11556_fruit_C.jpg	1	1.3262	0.4436	0.2532	
556-2	556	2010_ca_11556_fruit_C.jpg	2	3.4309	0.4438	0.2548	
556-3	556	2010_ca_11556_fruit_C.jpg	3	1.3734	0.4433	0.25	
556-4	556	2010_ca_11556_fruit_C.jpg	4	1.9783	0.4439	0.252	
556-5	556	2010_ca_11556_fruit_C.jpg	5	2.1687	0.4459	0.2534	
557-1	557	2010_ca_11557_fruit_C.jpg	1	1.9019	0.445	0.2539	
557-2	557	2010_ca_11557_fruit_C.jpg	2	2.4375	0.4436	0.2534	
557-3	557	2010_ca_11557_fruit_C.jpg	3	1.5661	0.4447	0.2523	
557-4	557	2010_ca_11557_fruit_C.jpg	4	1.9088	0.4451	0.2468	
557-5	557	2010_ca_11557_fruit_C.jpg	5	2.2371	0.4441	0.2535	
558-1	558	2010_ca_11558_fruit_C.jpg	1	1.6742	0.4443	0.2507	
558-2	558	2010_ca_11558_fruit_C.jpg	2	1.5612	0.4449	0.2555	
558-3	558	2010_ca_11558_fruit_C.jpg	3	1.3241	0.444	0.2533	
558-4	558	2010_ca_11558_fruit_C.jpg	4	1.4183	0.4442	0.2544	
558-5	558	2010_ca_11558_fruit_C.jpg	5	2.5326	0.4444	0.2521	
559-1	559	2010_ca_11559_fruit_C.jpg	1	1.8228	0.4441	0.2513	
559-2	559	2010_ca_11559_fruit_C.jpg	2	1.4795	0.4428	0.2516	
559-3	559	2010_ca_11559_fruit_C.jpg	3	1.7391	0.4426	0.2511	
559-4	559	2010_ca_11559_fruit_C.jpg	4	1.5905	0.4441	0.2555	
559-5	559	2010_ca_11559_fruit_C.jpg	5	1.3948	0.4433	0.2494	
560-1	560	2010_ca_11560_fruit_C.jpg	1	1.5428	0.4436	0.2525	
560-2	560	2010_ca_11560_fruit_C.jpg	2	1.5869	0.4426	0.2523	
560-3	560	2010_ca_11560_fruit_C.jpg	3	0.8012	0.4435	0.2519	
560-4	560	2010_ca_11560_fruit_C.jpg	4	1.5597	0.4441	0.2514	
560-5	560	2010_ca_11560_fruit_C.jpg	5	1.6495	0.4434	0.2488	
561-1	561	2010_ca_11561_fruit_C.jpg	1	2.4209	0.4437	0.2487	
561-2	561	2010_ca_11561_fruit_C.jpg	2	1.5221	0.4443	0.2493	
561-3	561	2010_ca_11561_fruit_C.jpg	3	1.7695	0.4439	0.2514	
561-4	561	2010_ca_11561_fruit_C.jpg	4	3.0731	0.4441	0.2493	
561-5	561	2010_ca_11561_fruit_C.jpg	5	1.5484	0.444	0.2513	
562-1	562	2010_ca_11562_fruit_C.jpg	1	1.4017	0.4449	0.2477	
562-2	562	2010_ca_11562_fruit_C.jpg	2	1.4453	0.4424	0.2555	
562-3	562	2010_ca_11562_fruit_C.jpg	3	0.8209	0.4445	0.2508	
562-4	562	2010_ca_11562_fruit_C.jpg	4	1.3063	0.4438	0.2529	
562-5	562	2010_ca_11562_fruit_C.jpg	5	1.9112	0.4444	0.2514	
563-1	563	2010_ca_11563_fruit_C.jpg	1	0.9415	0.4442	0.2507	
563-2	563	2010_ca_11563_fruit_C.jpg	2	1.2083	0.4441	0.25	
563-3	563	2010_ca_11563_fruit_C.jpg	3	1.4192	0.4441	0.2493	
563-4	563	2010_ca_11563_fruit_C.jpg	4	0.8746	0.4444	0.2507	
563-5	563	2010_ca_11563_fruit_C.jpg	5	1.9526	0.4439	0.2444	
564-1	564	2010_ca_11564_fruit_C.jpg	1	1.8951	0.4433	0.2487	
564-2	564	2010_ca_11564_fruit_C.jpg	2	0.9939	0.444	0.2534	
564-3	564	2010_ca_11564_fruit_C.jpg	3	0.9975	0.4444	0.2544	
564-4	564	2010_ca_11564_fruit_C.jpg	4	1.725	0.4447	0.2508	
564-5	564	2010_ca_11564_fruit_C.jpg	5	2.2219	0.4447	0.2515	
