	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
5201-1	5201	2010_fl_5201_fruit-c.jpg	1	0.95404	73.7951	108.749	45.3645	27.8874	64.2855	27.3496	24.4796	25.7412	46.2067	35.8275	
5201-2	5201	2010_fl_5201_fruit-c.jpg	2	1.11844	71.6584	116.119	51.2936	32.221	69.8052	30.0242	24.5758	26.9047	47.736	36.7136	
5201-3	5201	2010_fl_5201_fruit-c.jpg	3	0.781103	85.5218	112.964	43.596	28.7206	66.6694	27.8162	27.1522	26.1072	43.7095	37.9349	
5201-4	5201	2010_fl_5201_fruit-c.jpg	4	7.19408	52.6432	113.996	54.3335	31.0315	68.2478	30.3418	21.9536	27.7996	51.8526	36.0018	
5201-5	5201	2010_fl_5201_fruit-c.jpg	5	2.0373	74.3866	115.949	52.241	33.8579	70.4953	30.191	24.1115	26.2101	47.6162	35.9193	
5201-6	5201	2010_fl_5201_fruit-c.jpg	6	2.60728	65.3975	111.263	50.82	30.4897	66.7061	29.0349	22.7931	26.4708	49.1021	35.2992	
5201-7	5201	2010_fl_5201_fruit-c.jpg	7	0.399694	82.9695	112.625	47.5846	31.0706	67.619	28.5916	25.1654	25.7465	45.7279	36.1797	
5201-8	5201	2010_fl_5201_fruit-c.jpg	8	3.47681	66.7056	117.632	55.951	36.4252	72.4959	31.342	22.8963	26.1742	49.0703	35.1748	
5202-1	5202	2010_fl_5202_fruit-c.jpg	1	5.15227	63.1072	132.074	61.5266	38.6919	80.3575	34.9723	25.8119	29.7547	49.4209	39.853	
5202-2	5202	2010_fl_5202_fruit-c.jpg	2	1.04274	70.2518	102.749	43.5697	25.1124	60.1692	25.9185	23.0045	25.532	48.0241	34.5903	
