	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
5201-1	5201	2010_fl_5201_fruit-c.jpg	1	1.9575	0.3257	0.2025	
5201-2	5201	2010_fl_5201_fruit-c.jpg	2	1.6448	0.4246	0.242	
5201-3	5201	2010_fl_5201_fruit-c.jpg	3	1.1502	0.3524	0.1956	
5201-4	5201	2010_fl_5201_fruit-c.jpg	4	1.5465	0.9937	0.1713	
5201-5	5201	2010_fl_5201_fruit-c.jpg	5	1.4422	0.3505	0.1924	
5201-6	5201	2010_fl_5201_fruit-c.jpg	6	0.982	0.4432	0.2524	
5201-7	5201	2010_fl_5201_fruit-c.jpg	7	2.0472	0.4424	0.2527	
5201-8	5201	2010_fl_5201_fruit-c.jpg	8	1.7274	0.4428	0.2533	
5202-1	5202	2010_fl_5202_fruit-c.jpg	1	1.2579	0.3511	0.1941	
5202-2	5202	2010_fl_5202_fruit-c.jpg	2	1.5725	0.4421	0.2495	
5202-3	5202	2010_fl_5202_fruit-c.jpg	3	1.2168	0.4133	0.2335	
5202-4	5202	2010_fl_5202_fruit-c.jpg	4	2.0464	0.442	0.2519	
5202-5	5202	2010_fl_5202_fruit-c.jpg	5	1.2874	0.3779	0.1972	
5202-6	5202	2010_fl_5202_fruit-c.jpg	6	2.0083	0.35	0.1922	
5202-7	5202	2010_fl_5202_fruit-c.jpg	7	1.443	0.3138	0.2029	
5202-8	5202	2010_fl_5202_fruit-c.jpg	8	1.2398	0.3249	0.18	
5203-1	5203	2010_fl_5203_fruit-c.jpg	1	0.9953	0.3655	0.2043	
5203-2	5203	2010_fl_5203_fruit-c.jpg	2	1.2713	0.9895	0.5946	
5203-3	5203	2010_fl_5203_fruit-c.jpg	3	1.8422	0.3871	0.2155	
5203-4	5203	2010_fl_5203_fruit-c.jpg	4	1.5124	0.4465	0.2518	
5203-5	5203	2010_fl_5203_fruit-c.jpg	5	0.6565	0.406	0.2539	
5203-6	5203	2010_fl_5203_fruit-c.jpg	6	0.7564	0.4327	0.2434	
5204-1	5204	2010_fl_5204_fruit-c.jpg	1	0.8604	0.3386	0.1883	
5204-2	5204	2010_fl_5204_fruit-c.jpg	2	0.9872	0.4162	0.2328	
5204-3	5204	2010_fl_5204_fruit-c.jpg	3	1.3486	0.4462	0.2536	
5204-4	5204	2010_fl_5204_fruit-c.jpg	4	0.8555	0.4316	0.2445	
5204-5	5204	2010_fl_5204_fruit-c.jpg	5	1.4461	0.3684	0.2025	
5204-6	5204	2010_fl_5204_fruit-c.jpg	6	0.5633	0.4471	0.2529	
5204-7	5204	2010_fl_5204_fruit-c.jpg	7	0.5492	0.4464	0.25	
5204-8	5204	2010_fl_5204_fruit-c.jpg	8	0.9356	0.4181	0.234	
5205-1	5205	2010_fl_5205_fruit-c.jpg	1	0.8158	0.3677	0.2043	
5205-2	5205	2010_fl_5205_fruit-c.jpg	2	1.1874	0.3699	0.2014	
