	Tomato Analyzer - Shape Individual Data																																								
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro	  Proximal Angle Macro	  Proximal Indentation Area	  Distal Angle Micro	  Distal Angle Macro	  Distal Indentation Area	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments			
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164				
301-1	301	2009_nc_301_fruit-t.jpg 	1	20.4665	26.418	6.0452	6.1722	4.699	5.2578	0.8519	0.7773	0.9454	0.7857	1.2032	0.8422	0.9476	0.5644	0	0.0934	230.7876	152.0797	0.1805	163.2715	115.5623	0	0	0	0.202	2.8447	0	7.6694	0.4286	0.7184	0.897	0.8862	0.7872	0.4663				 
301-2	301	2009_nc_301_fruit-t.jpg 	2	21.5518	29.3677	6.604	6.6294	4.5974	5.4102	0.8161	0.6962	0.9192	0.8385	1.0963	0.7998	0.9095	0.5629	0	0.1338	283.9116	158.4221	0.2934	177.3195	127.7628	0.0018	0	0	0.1202	4.3915	0	6.7038	0.5117	0.6792	0.8889	0.8889	0.6923	0.4832				 
301-3	301	2009_nc_301_fruit-t.jpg 	3	18.6504	24.3541	5.588	5.6134	5.1562	5.334	0.9502	0.9227	0.8773	0.8091	1.0843	0.9581	0.9902	0.5345	0.1327	0	201.7455	118.4004	0.0252	179.6883	114.0131	0.0019	0	0	0.131	2.3062	0	2.8455	0.4714	0.7656	0.8889	0.8791	0.9091	0.4141				 
301-4	301	2009_nc_301_fruit-t.jpg 	4	24.605	34.0432	7.3914	7.4422	5.334	5.6896	0.7645	0.7216	0.8729	0.8282	1.0539	0.9363	0.8997	0.5572	0.4515	0.0164	190.0645	139.5184	0.1072	169.5694	131.6743	0.0025	0	0	0.0966	2.991	0	3.2432	0.4947	0.7534	0.8889	0.8984	0.75	0.4399				 
301-5	301	2009_nc_301_fruit-t.jpg 	5	22.5688	32.7877	6.731	6.8326	5.6896	5.9436	0.8699	0.8453	0.8868	0.8453	1.0491	0.922	0.9588	0.5316	0.8398	0.0353	180.4034	133.2091	0.0291	179.6322	127.6096	0.0004	0	0	0.1384	6.6953	0	5.4627	0.4449	0.7554	0.8934	0.8713	0.8381	0.4288				 
301-6	301	2009_nc_301_fruit-t.jpg 	6	21.9546	31.4928	6.6294	6.7056	5.1816	5.7658	0.8598	0.7816	0.9502	0.7816	1.2157	0.8056	0.9415	0.5759	0	0.0977	185.5632	159.7278	0.2696	163.8972	111.5143	0	0	0	0.2102	2.2611	0	9.5285	0.4185	0.7168	0.8852	0.8852	0.7788	0.4578				 
302-1	302	2009_nc_302_fruit-t.jpg 	1	12.5415	10.7109	3.8354	3.8862	3.2004	3.4036	0.8758	0.8344	0.9139	0.7881	1.1597	0.9149	0.9647	0.5553	1.1911	0.0522	212.9113	143.0461	0.1153	168.5874	111.3858	0	0	0	0.1922	0.7068	0	4.0526	0.4478	0.7519	0.8929	0.885	0.8333	0.4323				 
302-2	302	2009_nc_302_fruit-t.jpg 	2	11.7995	9.589	3.6322	3.6576	3.1242	3.2512	0.8889	0.8601	0.9091	0.7762	1.1712	0.9289	0.9658	0.537	0.6501	0.0251	189.0375	141.6534	0.0828	169.9515	111.0985	0	0	0	0.1915	1.3622	0	3.3706	0.4609	0.7559	0.8889	0.8727	0.8571	0.4318				 
