Plot	SCT	Year	Location	Location 2	Replicate	Donor number/Variety Name:
301	SCT_0325	2009	Mills River	North Carolina	1	Ailsa Craig
302	SCT_0321	2009	Mills River	North Carolina	1	VFNT Cherry
303	SCT_0286	2009	Mills River	North Carolina	1	Amish Paste
304	SCT_0287	2009	Mills River	North Carolina	1	Beauty
305	SCT_0290	2009	Mills River	North Carolina	1	Brandywine (Sudduth/Quisenberry)
306	SCT_0289	2009	Mills River	North Carolina	1	Black Plum
307	SCT_0292	2009	Mills River	North Carolina	1	Cherokee Purple
308	SCT_0293	2009	Mills River	North Carolina	1	Costoluto Genovese
309	SCT_0294	2009	Mills River	North Carolina	1	D' Olvia x Industria
310	SCT_0295	2009	Mills River	North Carolina	1	Favorite
311	SCT_0296	2009	Mills River	North Carolina	1	Globe
312	SCT_0297	2009	Mills River	North Carolina	1	Gold Ball
313	SCT_0298	2009	Mills River	North Carolina	1	Grushovka
314	SCT_0299	2009	Mills River	North Carolina	1	Howard German
315	SCT_0300	2009	Mills River	North Carolina	1	Juane Flammee
316	SCT_0301	2009	Mills River	North Carolina	1	King Humbert
317	SCT_0302	2009	Mills River	North Carolina	1	LYC1903
318	SCT_0303	2009	Mills River	North Carolina	1	Marglobe
319	SCT_0304	2009	Mills River	North Carolina	1	Moneymaker
320	SCT_0305	2009	Mills River	North Carolina	1	Opalka
321	SCT_0306	2009	Mills River	North Carolina	1	Orange Strawberry
322	SCT_0307	2009	Mills River	North Carolina	1	Oxheart
323	SCT_0308	2009	Mills River	North Carolina	1	PARAGON
324	SCT_0310	2009	Mills River	North Carolina	1	Principe Borghese
325	SCT_0311	2009	Mills River	North Carolina	1	Purple Clabash
326	SCT_0312	2009	Mills River	North Carolina	1	RomaVF
327	SCT_0313	2009	Mills River	North Carolina	1	Rutgers
328	SCT_0314	2009	Mills River	North Carolina	1	San Marzano
329	SCT_0315	2009	Mills River	North Carolina	1	Sponzillo
330	SCT_0316	2009	Mills River	North Carolina	1	Stupice
331	SCT_0317	2009	Mills River	North Carolina	1	T1003
332	SCT_0318	2009	Mills River	North Carolina	1	T1693
333	SCT_0319	2009	Mills River	North Carolina	1	T1697
334	SCT_0320	2009	Mills River	North Carolina	1	Tres Cantos
335	SCT_0322	2009	Mills River	North Carolina	1	White Queen
336	SCT_0323	2009	Mills River	North Carolina	1	Yellow Pear
337	SCT_0324	2009	Mills River	North Carolina	1	Yellow Stuffer
338	SCT_0285	2009	Mills River	North Carolina	1	Aker's West Virginia
339	SCT_0288	2009	Mills River	North Carolina	1	Black From Tula
340	SCT_0291	2009	Mills River	North Carolina	1	Burbank
341	SCT_0309	2009	Mills River	North Carolina	1	Peron
342	SCT_0326	2009	Mills River	North Carolina	1	Marveille des Marches
343	SCT_0327	2009	Mills River	North Carolina	1	Ponderosa
344	SCT_0328	2009	Mills River	North Carolina	1	Tainan
345	SCT_0344	2009	Mills River	North Carolina	1	PI 128586
346	SCT_0359	2009	Mills River	North Carolina	1	Rinon PI 98097
347	SCT_0364	2009	Mills River	North Carolina	1	Tomate
348	SCT_0363	2009	Mills River	North Carolina	1	Sao Paulo
349	SCT_0360	2009	Mills River	North Carolina	1	Rinon PI 118783
350	SCT_0332	2009	Mills River	North Carolina	1	Abel
351	SCT_0341	2009	Mills River	North Carolina	1	PI 124035
352	SCT_0342	2009	Mills River	North Carolina	1	PI 124037
353	SCT_0362	2009	Mills River	North Carolina	1	Rumi Banjan
354	SCT_0343	2009	Mills River	North Carolina	1	PI 127820
355	SCT_0345	2009	Mills River	North Carolina	1	PI 128592
356	SCT_0346	2009	Mills River	North Carolina	1	PI 129026
357	SCT_0347	2009	Mills River	North Carolina	1	PI 129033
358	SCT_0348	2009	Mills River	North Carolina	1	PI 129084
359	SCT_0349	2009	Mills River	North Carolina	1	PI 129128
360	SCT_0350	2009	Mills River	North Carolina	1	PI 129142
361	SCT_0351	2009	Mills River	North Carolina	1	PI 155372
362	SCT_0358	2009	Mills River	North Carolina	1	Prospero
363	SCT_0333	2009	Mills River	North Carolina	1	Chih-mu-tao-se
364	SCT_0352	2009	Mills River	North Carolina	1	PI 159009
365	SCT_0353	2009	Mills River	North Carolina	1	PI 196297
366	SCT_0366	2009	Mills River	North Carolina	1	Turrialba
367	SCT_0339	2009	Mills River	North Carolina	1	LA0410
368	SCT_0334	2009	Mills River	North Carolina	1	Cotaxtla I
369	SCT_0355	2009	Mills River	North Carolina	1	PI 270430
370	SCT_0356	2009	Mills River	North Carolina	1	PI 272703
371	SCT_0338	2009	Mills River	North Carolina	1	Kiyosu No. 2
372	SCT_0337	2009	Mills River	North Carolina	1	Hong Kong
373	SCT_0335	2009	Mills River	North Carolina	1	Devon Surprise
374	SCT_0336	2009	Mills River	North Carolina	1	Heinz 1370
375	SCT_0368	2009	Mills River	North Carolina	1	W-C 1537
376	SCT_0330	2009	Mills River	North Carolina	1	A-1770
