Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
11	SCT_0143	2010	Mills River	NC	1	071733-1		
12	SCT_0143	2010	Mills River	NC	2	071733-1		
21	SCT_0144	2010	Mills River	NC	1	071820-2		
22	SCT_0144	2010	Mills River	NC	2	071820-2		
31	SCT_0145	2010	Mills River	NC	1	091003-21		
32	SCT_0145	2010	Mills River	NC	2	091003-21		
41	SCT_0146	2010	Mills River	NC	1	091003-29		
42	SCT_0146	2010	Mills River	NC	2	091003-29		
51	SCT_0147	2010	Mills River	NC	1	091003-30		
52	SCT_0147	2010	Mills River	NC	2	091003-30		
61	SCT_0148	2010	Mills River	NC	1	091003-35		
62	SCT_0148	2010	Mills River	NC	2	091003-35		
71	SCT_0149	2010	Mills River	NC	1	091003-36		
72	SCT_0149	2010	Mills River	NC	2	091003-36		
81	SCT_0150	2010	Mills River	NC	1	091004-15		
82	SCT_0150	2010	Mills River	NC	2	091004-15		
91	SCT_0151	2010	Mills River	NC	1	091004-16		
92	SCT_0151	2010	Mills River	NC	2	091004-16		
101	SCT_0152	2010	Mills River	NC	1	091004-32		
102	SCT_0152	2010	Mills River	NC	2	091004-32		
111	SCT_0153	2010	Mills River	NC	1	091004-4		
112	SCT_0153	2010	Mills River	NC	2	091004-4		
121	SCT_0154	2010	Mills River	NC	1	091004-7		
122	SCT_0154	2010	Mills River	NC	2	091004-7		
131	SCT_0155	2010	Mills River	NC	1	091004-8		
132	SCT_0155	2010	Mills River	NC	2	091004-8		
141	SCT_0156	2010	Mills River	NC	1	091013/091031		
142	SCT_0156	2010	Mills River	NC	2	091013/091031		
151	SCT_0157	2010	Mills River	NC	1	091109-3		
152	SCT_0157	2010	Mills River	NC	2	091109-3		
161	SCT_0158	2010	Mills River	NC	1	091119-2		
162	SCT_0158	2010	Mills River	NC	2	091119-2		
171	SCT_0159	2010	Mills River	NC	1	091120-2		
172	SCT_0159	2010	Mills River	NC	2	091120-2		
181	SCT_0160	2010	Mills River	NC	1	091120-7		
182	SCT_0160	2010	Mills River	NC	2	091120-7		 
191	SCT_0161	2010	Mills River	NC	1	091135-1		 
192	SCT_0161	2010	Mills River	NC	2	091135-1		
201	SCT_0162	2010	Mills River	NC	1	091144-1		
202	SCT_0162	2010	Mills River	NC	2	091144-1		
211	SCT_0163	2010	Mills River	NC	1	091144-2		
212	SCT_0163	2010	Mills River	NC	2	091144-2		
221	SCT_0164	2010	Mills River	NC	1	091153-1		
222	SCT_0164	2010	Mills River	NC	2	091153-1		
231	SCT_0165	2010	Mills River	NC	1	091166-3		
232	SCT_0165	2010	Mills River	NC	2	091166-3		
241	SCT_0166	2010	Mills River	NC	1	091183-1		
242	SCT_0166	2010	Mills River	NC	2	091183-1		
251	SCT_0167	2010	Mills River	NC	1	88003-59		
252	SCT_0167	2010	Mills River	NC	2	88003-59		
261	SCT_0168	2010	Mills River	NC	1	88003-62		
262	SCT_0168	2010	Mills River	NC	2	88003-62		
271	SCT_0169	2010	Mills River	NC	1	88003-81		
272	SCT_0169	2010	Mills River	NC	2	88003-81		
281	SCT_0170	2010	Mills River	NC	1	88018 N		
282	SCT_0170	2010	Mills River	NC	2	88018 N		
291	SCT_0171	2010	Mills River	NC	1	88019 N		
292	SCT_0171	2010	Mills River	NC	2	88019 N		
811	SCT_0172	2010	Mills River	NC	1	Campbell28		
812	SCT_0172	2010	Mills River	NC	2	Campbell28		
301	SCT_0173	2010	Mills River	NC	1	'Cherokee'		
302	SCT_0173	2010	Mills River	NC	2	'Cherokee'		
1011	SCT_0174	2010	Mills River	NC	1	Fla. 678		
1012	SCT_0174	2010	Mills River	NC	2	Fla. 678		
1021	SCT_0175	2010	Mills River	NC	1	Fla. 701		
1022	SCT_0175	2010	Mills River	NC	2	Fla. 701		
951	SCT_0176	2010	Mills River	NC	1	Fla. 7060		
952	SCT_0176	2010	Mills River	NC	2	Fla. 7060		
1031	SCT_0177	2010	Mills River	NC	1	Fla. 726		
1032	SCT_0177	2010	Mills River	NC	2	Fla. 726		
1041	SCT_0178	2010	Mills River	NC	1	Fla. 7481		
