	Tomato Analyzer - Shape Individual Data																																						
	Plot #	SCT #	image files	Fruit	Perimeter (cm)	  Area  (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	sct#	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
2011-1	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	1	10.7327	7.7322	3.302	3.3528	2.6924	2.8702	0.8561	0.8154	0.9077	0.7692	1.18	0.9265	0.9614	0.5366	1.2154	0.0536	204.9	136	0.1051	167.6	109.2	0	0	0	0.1727	0.0982	0	2.9389	0.475	0.7679	0.9247	0.8866	0.8431	0.4252	version 2
2011-2	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	2	11.5393	9.2064	3.556	3.6068	2.921	3.0988	0.8592	0.8214	0.9071	0.8071	1.1239	0.9228	0.964	0.5375	0.9916	0.0425	208.6	135.3	0.0983	172.1	117.7	0	0	0	0.1643	1.4463	0	2.1986	0.4435	0.7438	0.8824	0.8824	0.8036	0.4452	version 2
2011-3	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	3	11.7908	9.0245	3.556	3.6068	3.0734	3.2004	0.8873	0.8643	0.9071	0.7571	1.1981	0.9247	0.9758	0.5313	0.6493	0.0248	194.4	132.3	0.0785	175.8	101.3	0	0	0	0.2112	0.552	0	3.3759	0.4097	0.784	0.9245	0.8673	0.9245	0.4167	version 2
2011-4	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	4	10.8543	8.2703	3.3782	3.3782	2.794	3.0226	0.8947	0.8271	0.8722	0.797	1.0943	0.9454	0.9733	0.552	0.7707	0.0318	223.2	126.6	0.0841	172.4	116.7	0	0	0	0.1379	1.0254	0	2.0455	0.4454	0.7458	0.898	0.8889	0.8462	0.4393	version 2
2011-5	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	5	10.2621	7.538	3.2766	3.2766	2.6924	2.7686	0.845	0.8217	0.907	0.7829	1.1584	0.9448	0.956	0.557	0.7415	0.0303	194.1	141	0.0633	182.6	114.3	0	0	0	0.1432	0.8241	0	2.3828	0.4771	0.7778	0.9032	0.8842	0.8235	0.4241	version 2
2011-6	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	6	11.8757	9.0851	3.6068	3.6322	2.8194	3.0988	0.8531	0.7817	0.9085	0.7746	1.1727	0.9052	0.9497	0.5529	1.2495	0.0554	235.1	142.6	0.1257	177.4	108.8	0	0	0	0.1678	0.5537	0	3.1056	0.4514	0.7769	0.9495	0.8785	0.8545	0.4233	version 2
2011-7	2011	SCT_0231	2010_nc_2011_fruit-t.jpg	7	10.7193	8.1193	3.2512	3.2766	2.8702	2.9972	0.9147	0.8828	0.9141	0.7969	1.1471	0.9419	0.9837	0.55	0.5756	0.0215	193.9	131.3	0.0632	171.9	116.9	0	0	0	0.1852	0.5299	0	2.1797	0.4237	0.7521	0.8889	0.8713	0.8627	0.4398	version 2
