	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
3801-1	3801	2009_oh_3801_fruit-c.jpg	1	0.7189	0.4497	0.2563	
3801-2	3801	2009_oh_3801_fruit-c.jpg	2	0.8169	0.4492	0.2537	
3801-3	3801	2009_oh_3801_fruit-c.jpg	3	0.5239	0.4464	0.2562	
3801-4	3801	2009_oh_3801_fruit-c.jpg	4	1.4428	0.4482	0.2565	
3801-5	3801	2009_oh_3801_fruit-c.jpg	5	0.9921	0.4493	0.2551	
3801-6	3801	2009_oh_3801_fruit-c.jpg	6	0.4875	0.4482	0.2567	
3801-7	3801	2009_oh_3801_fruit-c.jpg	7	1.851	0.4503	0.2586	
3801-8	3801	2009_oh_3801_fruit-c.jpg	8	1.7283	0.4496	0.2543	
3801-9	3801	2009_oh_3801_fruit-c.jpg	9	0.8988	0.4486	0.2562	
3836-1	3836	2009_oh_3836_fruit-c.jpg	1	1.1196	0.5619	0.3383	
3836-2	3836	2009_oh_3836_fruit-c.jpg	2	0.4182	0.4501	0.2568	
3836-3	3836	2009_oh_3836_fruit-c.jpg	3	0.6782	0.4504	0.2579	
3836-4	3836	2009_oh_3836_fruit-c.jpg	4	1.3766	0.4501	0.2582	
3836-5	3836	2009_oh_3836_fruit-c.jpg	5	0.6398	0.452	0.259	
3836-6	3836	2009_oh_3836_fruit-c.jpg	6	0.8205	0.4518	0.2577	
3836-7	3836	2009_oh_3836_fruit-c.jpg	7	0.8073	0.4523	0.2594	
3836-8	3836	2009_oh_3836_fruit-c.jpg	8	1.2074	0.4488	0.262	
3836-9	3836	2009_oh_3836_fruit-c.jpg	9	1.332	0.45	0.2517	
3856-1	3856	2009_oh_3856_fruit-c.jpg	1	1.2574	0.4487	0.257	
3856-2	3856	2009_oh_3856_fruit-c.jpg	2	0.7595	0.4474	0.2547	
3856-3	3856	2009_oh_3856_fruit-c.jpg	3	0.7476	0.4487	0.2548	
3856-4	3856	2009_oh_3856_fruit-c.jpg	4	1.0888	0.4484	0.2548	
3856-5	3856	2009_oh_3856_fruit-c.jpg	5	0.828	0.4498	0.2538	
3856-6	3856	2009_oh_3856_fruit-c.jpg	6	0.8949	0.4492	0.2573	
3856-7	3856	2009_oh_3856_fruit-c.jpg	7	0.6241	0.4498	0.2619	
3856-8	3856	2009_oh_3856_fruit-c.jpg	8	1.0217	0.4437	0.2562	
3856-9	3856	2009_oh_3856_fruit-c.jpg	9	1.2463	0.4562	0.2596	
3872-1	3872	2009_oh_3872_fruit-c.jpg	1	0.6232	0.4516	0.2545	
3872-2	3872	2009_oh_3872_fruit-c.jpg	2	1.1783	0.452	0.2594	
3872-3	3872	2009_oh_3872_fruit-c.jpg	3	1.2917	0.451	0.2589	
3872-4	3872	2009_oh_3872_fruit-c.jpg	4	0.5299	0.4538	0.2624	
3872-5	3872	2009_oh_3872_fruit-c.jpg	5	0.7018	0.4552	0.2595	
3872-6	3872	2009_oh_3872_fruit-c.jpg	6	0.6245	0.4482	0.2558	
3872-7	3872	2009_oh_3872_fruit-c.jpg	7	0.4719	0.4548	0.2558	
3872-8	3872	2009_oh_3872_fruit-c.jpg	8	0.9307	0.4566	0.2581	
3872-9	3872	2009_oh_3872_fruit-c.jpg	9	0.4238	0.4553	0.2556	
8501-1	8501	2009_oh_8501_fruit-c.jpg	1	1.3132	0.4466	0.25	
8501-2	8501	2009_oh_8501_fruit-c.jpg	2	0.632	0.447	0.2597	
8501-3	8501	2009_oh_8501_fruit-c.jpg	3	0.7432	0.4491	0.2565	
8501-4	8501	2009_oh_8501_fruit-c.jpg	4	0.9314	0.4494	0.2541	
8501-5	8501	2009_oh_8501_fruit-c.jpg	5	2.723	0.4491	0.2527	
8501-6	8501	2009_oh_8501_fruit-c.jpg	6	0.9381	0.4495	0.2568	
8501-7	8501	2009_oh_8501_fruit-c.jpg	7	1.2781	0.4508	0.2571	
8501-8	8501	2009_oh_8501_fruit-c.jpg	8	1.3054	0.4402	0.2557	
8501-9	8501	2009_oh_8501_fruit-c.jpg	9	0.8537	0.4492	0.2578	
8502-1	8502	2009_oh_8502_fruit-c.jpg	1	1.5662	0.4486	0.2574	
8502-2	8502	2009_oh_8502_fruit-c.jpg	2	0.688	0.449	0.2549	
8502-3	8502	2009_oh_8502_fruit-c.jpg	3	1.1657	0.4498	0.2513	
8502-4	8502	2009_oh_8502_fruit-c.jpg	4	1.82	0.4496	0.254	
8502-5	8502	2009_oh_8502_fruit-c.jpg	5	1.1241	0.4501	0.2581	
8502-6	8502	2009_oh_8502_fruit-c.jpg	6	0.5088	0.45	0.2553	
8502-7	8502	2009_oh_8502_fruit-c.jpg	7	0.597	0.4499	0.2527	
8502-8	8502	2009_oh_8502_fruit-c.jpg	8	0.6862	0.4512	0.2544	
8502-9	8502	2009_oh_8502_fruit-c.jpg	9	1.0522	0.4488	0.2529	
8503-1	8503	2009_oh_8503_fruit-c.jpg	1	2.2717	0.4486	0.2537	
8503-2	8503	2009_oh_8503_fruit-c.jpg	2	1.3757	0.4487	0.2553	
8503-3	8503	2009_oh_8503_fruit-c.jpg	3	1.6696	0.4445	0.258	
8503-4	8503	2009_oh_8503_fruit-c.jpg	4	1.0941	0.4487	0.2512	
8503-5	8503	2009_oh_8503_fruit-c.jpg	5	1.2802	0.4497	0.2554	
8503-6	8503	2009_oh_8503_fruit-c.jpg	6	1.0054	0.45	0.2598	
8503-7	8503	2009_oh_8503_fruit-c.jpg	7	2.0258	0.4364	0.2553	
8503-8	8503	2009_oh_8503_fruit-c.jpg	8	1.7058	0.438	0.2514	
8503-9	8503	2009_oh_8503_fruit-c.jpg	9	1.5893	0.4304	0.2597	
8504-1	8504	2009_oh_8504_fruit-c.jpg	1	0.4057	0.4466	0.2564	
8504-2	8504	2009_oh_8504_fruit-c.jpg	2	0.9961	0.4471	0.2539	
8504-3	8504	2009_oh_8504_fruit-c.jpg	3	0.8548	0.4493	0.2513	
8504-4	8504	2009_oh_8504_fruit-c.jpg	4	1.0165	0.4491	0.2594	
8504-5	8504	2009_oh_8504_fruit-c.jpg	5	0.6218	0.449	0.2578	
8504-6	8504	2009_oh_8504_fruit-c.jpg	6	0.9166	0.4487	0.2552	
8504-7	8504	2009_oh_8504_fruit-c.jpg	7	0.7559	0.4502	0.2571	
8504-8	8504	2009_oh_8504_fruit-c.jpg	8	1.1428	0.4474	0.2543	
8504-9	8504	2009_oh_8504_fruit-c.jpg	9	0.5084	0.4495	0.2569	
8505-1	8505	2009_oh_8505_fruit-c.jpg	1	0.8481	0.4492	0.2562	
8505-2	8505	2009_oh_8505_fruit-c.jpg	2	0.999	0.4485	0.2512	
8505-3	8505	2009_oh_8505_fruit-c.jpg	3	0.8705	0.4489	0.2548	
8505-4	8505	2009_oh_8505_fruit-c.jpg	4	1.1317	0.4504	0.2605	
8505-5	8505	2009_oh_8505_fruit-c.jpg	5	1.0477	0.4484	0.254	
8505-6	8505	2009_oh_8505_fruit-c.jpg	6	1.3249	0.4503	0.2585	 
8505-7	8505	2009_oh_8505_fruit-c.jpg	7	0.8744	0.4486	0.2568	 
8505-8	8505	2009_oh_8505_fruit-c.jpg	8	0.862	0.4486	0.2568	 
8505-9	8505	2009_oh_8505_fruit-c.jpg	9	1.0765	0.451	0.2529	 
8506-1	8506	2009_oh_8506_fruit-c.jpg	1	0.6693	0.4487	0.2549	  
8506-2	8506	2009_oh_8506_fruit-c.jpg	2	0.517	0.4503	0.2569	 
8506-3	8506	2009_oh_8506_fruit-c.jpg	3	0.9092	0.4512	0.2542	 
8506-4	8506	2009_oh_8506_fruit-c.jpg	4	0.8929	0.451	0.2571	 
8506-5	8506	2009_oh_8506_fruit-c.jpg	5	1.0383	0.451	0.2529	  
8506-6	8506	2009_oh_8506_fruit-c.jpg	6	0.863	0.4518	0.258	 
8506-7	8506	2009_oh_8506_fruit-c.jpg	7	0.5458	0.4541	0.2568	  
8506-8	8506	2009_oh_8506_fruit-c.jpg	8	0.5823	0.4538	0.2633	 
8506-9	8506	2009_oh_8506_fruit-c.jpg	9	0.7868	0.4566	0.2617	 
8507-1	8507	2009_oh_8507_fruit-c.jpg	1	1.7029	0.4504	0.2527	 
8507-2	8507	2009_oh_8507_fruit-c.jpg	2	0.6133	0.4509	0.2601	
8507-3	8507	2009_oh_8507_fruit-c.jpg	3	0.8367	0.4514	0.2588	
8507-4	8507	2009_oh_8507_fruit-c.jpg	4	0.9074	0.4512	0.2557	
8507-5	8507	2009_oh_8507_fruit-c.jpg	5	0.8963	0.4516	0.2605	
8507-6	8507	2009_oh_8507_fruit-c.jpg	6	0.9921	0.4531	0.2564	
8507-7	8507	2009_oh_8507_fruit-c.jpg	7	1.3791	0.4525	0.2548	
8507-8	8507	2009_oh_8507_fruit-c.jpg	8	1.6407	0.4511	0.2581	
8507-9	8507	2009_oh_8507_fruit-c.jpg	9	0.8734	0.4578	0.2647	
8508-1	8508	2009_oh_8508_fruit-c.jpg	1	0.5812	0.449	0.2513	
8508-2	8508	2009_oh_8508_fruit-c.jpg	2	0.6813	0.442	0.2576	
8508-3	8508	2009_oh_8508_fruit-c.jpg	3	0.8412	0.4508	0.2556	
8508-4	8508	2009_oh_8508_fruit-c.jpg	4	1.3373	0.4482	0.2553	
8508-5	8508	2009_oh_8508_fruit-c.jpg	5	0.7203	0.4503	0.2571	
8508-6	8508	2009_oh_8508_fruit-c.jpg	6	2.1886	0.451	0.2572	
8508-7	8508	2009_oh_8508_fruit-c.jpg	7	0.5699	0.4487	0.2575	
8508-8	8508	2009_oh_8508_fruit-c.jpg	8	1.029	0.4495	0.2562	
8508-9	8508	2009_oh_8508_fruit-c.jpg	9	0.9379	0.4528	0.2565	
8509-1	8509	2009_oh_8509_fruit-c.jpg	1	0.7207	0.4469	0.2532	
8509-2	8509	2009_oh_8509_fruit-c.jpg	2	2.0845	0.4494	0.2522	
8509-3	8509	2009_oh_8509_fruit-c.jpg	3	0.5898	0.4482	0.2546	
8509-4	8509	2009_oh_8509_fruit-c.jpg	4	0.6857	0.4498	0.256	
8509-5	8509	2009_oh_8509_fruit-c.jpg	5	0.8796	0.4477	0.2536	
8509-6	8509	2009_oh_8509_fruit-c.jpg	6	1.0632	0.4476	0.2547	
