	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area  (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
3801-1	3801	2009_oh_3801_fruit-t.jpg	1	19.375	26.2303	5.334	5.4102	5.8674	6.0198	1.1127	1.1	0.881	0.7857	1.1212	0.9709	0.9662	0.5142	0.5693	0.0215	207.5558	101.5146	0.0334	176.1141	95.34	0	0	0	0.157	2.0169	0	4.2123	0.443	0.7797	0.8889	0.8889	1.0952	0.4029	
3801-2	3801	2009_oh_3801_fruit-t.jpg	2	18.7967	24.3012	4.826	4.9276	5.9182	6.0706	1.232	1.2263	0.9	0.8263	1.0892	0.9626	0.9356	0.5378	0.569	0.0223	218.8509	94.1882	0.0253	171.253	92.0162	0	0	0	0.0921	2.1891	0	4.7098	0.5481	0.7731	0.8846	0.8846	1.2105	0.4168	
3801-3	3801	2009_oh_3801_fruit-t.jpg	3	18.1399	22.838	5.0038	5.0292	5.5118	5.715	1.1364	1.1015	0.868	0.797	1.0892	0.9755	0.9676	0.5211	0.1511	0.0011	208.4085	103.429	0.0038	172.4213	95.2066	0	0	0	0.1163	1.9152	0	3.3096	0.4889	0.7679	0.8912	0.8821	1.1026	0.4047	
3801-4	3801	2009_oh_3801_fruit-t.jpg	4	17.9824	21.949	4.8006	4.8006	5.461	5.7658	1.2011	1.1376	0.836	0.7831	1.0676	0.9827	0.9563	0.5208	0.8385	0.0356	219.5782	87.6149	0.0446	175.0198	94.8367	0.0012	0	0	0.1045	0.8938	0	3.0053	0.511	0.7522	0.8901	0.8808	1.1333	0.4113	
3801-5	3801	2009_oh_3801_fruit-t.jpg	5	17.6432	21.7793	4.9022	4.9276	5.3848	5.5372	1.1237	1.0984	0.8549	0.8135	1.051	0.9794	0.9705	0.5214	0.3686	0.0118	200.1077	102.4139	0.0315	176.3515	94.0929	0.0003	0	0	0.1264	2.2995	0	2.171	0.4817	0.7742	0.8889	0.8842	1.1053	0.4059	
3801-6	3801	2009_oh_3801_fruit-t.jpg	6	18.0619	22.0767	4.6482	4.699	5.7912	5.969	1.2703	1.2459	0.8087	0.8306	0.9737	0.9643	0.9373	0.4976	0	0.0405	211.9941	82.5365	0.0422	173.7003	94.5415	0	0	0.1421	0	3.265	4.4076	0	0.5277	0.7778	0.8878	0.8922	1.2639	0.3985	
3801-7	3801	2009_oh_3801_fruit-t.jpg	7	16.8529	19.5522	4.2672	4.2672	5.4864	5.5626	1.3036	1.2857	0.8393	0.8631	0.9724	0.9798	0.9272	0.5438	0	0.0137	192.2888	77.1884	0.0191	170.1193	84.9074	0	0	0.1613	0	0.3899	1.6347	0	0.5388	0.789	0.8912	0.8866	1.2836	0.4027	
3801-8	3801	2009_oh_3801_fruit-t.jpg	8	14.9758	15.52	4.0386	4.0894	4.6228	4.8006	1.1739	1.1447	0.8491	0.805	1.0547	0.97	0.9546	0.4888	0.6671	0.0267	197.9794	93.0662	0.0269	173.1808	95.8234	0	0	0	0.1291	2.383	0	2.65	0.4709	0.766	0.8889	0.8834	1.1429	0.4076	
3801-9	3801	2009_oh_3801_fruit-t.jpg	9	14.8532	14.8142	3.9624	4.1402	4.4958	4.6482	1.1227	1.1346	0.8269	0.8205	1.0078	0.9679	0.9565	0.495	0.6436	0.0266	222.5364	89.4651	0.0262	172.5171	86.8334	0	0	0	0.0423	2.533	0	4.0123	0.5519	0.7692	0.8917	0.8805	1.129	0.4062	
