Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
8559	SCT_0001	2009	Fremont	Ohio	1	2K1-1439
8671	SCT_0001	2009	Fremont	Ohio	2	2K1-1439
8579	SCT_0002	2009	Fremont	Ohio	1	2K1-2019
8680	SCT_0002	2009	Fremont	Ohio	2	2K1-2019
8580	SCT_0003	2009	Fremont	Ohio	1	2K1-2029
8705	SCT_0003	2009	Fremont	Ohio	2	2K1-2029
8603	SCT_0004	2009	Fremont	Ohio	1	2K1-2054
8679	SCT_0004	2009	Fremont	Ohio	2	2K1-2054
8566	SCT_0005	2009	Fremont	Ohio	1	CULBPT04-1
8684	SCT_0005	2009	Fremont	Ohio	2	CULBPT04-1
8515	SCT_0006	2009	Fremont	Ohio	1	CULBPT04-2
8767	SCT_0006	2009	Fremont	Ohio	2	CULBPT04-2
8525	SCT_0007	2009	Fremont	Ohio	1	CULBPT04-3
8737	SCT_0007	2009	Fremont	Ohio	2	CULBPT04-3
8560	SCT_0008	2009	Fremont	Ohio	1	CULBPT04-4
8718	SCT_0008	2009	Fremont	Ohio	2	CULBPT04-4
8642	SCT_0009	2009	Fremont	Ohio	1	CULBPT04-5
8688	SCT_0009	2009	Fremont	Ohio	2	CULBPT04-5
8633	SCT_0010	2009	Fremont	Ohio	1	CULBPT-05-10
8700	SCT_0010	2009	Fremont	Ohio	2	CULBPT-05-10
8584	SCT_0011	2009	Fremont	Ohio	1	CULBPT-05-11
8693	SCT_0011	2009	Fremont	Ohio	2	CULBPT-05-11
8622	SCT_0012	2009	Fremont	Ohio	1	CULBPT-05-15
8670	SCT_0012	2009	Fremont	Ohio	2	CULBPT-05-15
8630	SCT_0013	2009	Fremont	Ohio	1	CULBPT-05-18
8717	SCT_0013	2009	Fremont	Ohio	2	CULBPT-05-18
8501	SCT_0014	2009	Fremont	Ohio	1	CULBPT-05-20
8690	SCT_0014	2009	Fremont	Ohio	2	CULBPT-05-20
8523	SCT_0015	2009	Fremont	Ohio	1	CULBPT-05-21
8721	SCT_0015	2009	Fremont	Ohio	2	CULBPT-05-21
8572	SCT_0016	2009	Fremont	Ohio	1	CULBPT-05-22
8695	SCT_0016	2009	Fremont	Ohio	2	CULBPT-05-22
8509	SCT_0017	2009	Fremont	Ohio	1	CULBPT-05-9
8709	SCT_0017	2009	Fremont	Ohio	2	CULBPT-05-9
8644	SCT_0018	2009	Fremont	Ohio	1	CULBPT-A46-2
8738	SCT_0018	2009	Fremont	Ohio	2	CULBPT-A46-2
8609	SCT_0019	2009	Fremont	Ohio	1	E3259
8749	SCT_0019	2009	Fremont	Ohio	2	E3259
8600	SCT_0020	2009	Fremont	Ohio	1	E6203
8734	SCT_0020	2009	Fremont	Ohio	2	E6203
8561	SCT_0021	2009	Fremont	Ohio	1	F02-7530
8733	SCT_0021	2009	Fremont	Ohio	2	F02-7530
8573	SCT_0022	2009	Fremont	Ohio	1	F03-6331
8663	SCT_0022	2009	Fremont	Ohio	2	F03-6331
8514	SCT_0023	2009	Fremont	Ohio	1	F03-7463
8778	SCT_0023	2009	Fremont	Ohio	2	F03-7463
8535	SCT_0024	2009	Fremont	Ohio	1	F06-1013-1
8691	SCT_0024	2009	Fremont	Ohio	2	F06-1013-1
8638	SCT_0025	2009	Fremont	Ohio	1	F06-1014-1
8658	SCT_0025	2009	Fremont	Ohio	2	F06-1014-1
8631	SCT_0026	2009	Fremont	Ohio	1	F06-2041
8674	SCT_0026	2009	Fremont	Ohio	2	F06-2041
8502	SCT_0027	2009	Fremont	Ohio	1	F06-2054
8740	SCT_0027	2009	Fremont	Ohio	2	F06-2054
8553	SCT_0028	2009	Fremont	Ohio	1	F06-2058
8754	SCT_0028	2009	Fremont	Ohio	2	F06-2058
8517	SCT_0029	2009	Fremont	Ohio	1	FG02-188
8647	SCT_0029	2009	Fremont	Ohio	2	FG02-188
8532	SCT_0030	2009	Fremont	Ohio	1	Heinz 1706
8722	SCT_0030	2009	Fremont	Ohio	2	Heinz 1706
8596	SCT_0031	2009	Fremont	Ohio	1	Hunt100
8761	SCT_0031	2009	Fremont	Ohio	2	Hunt100
8607	SCT_0032	2009	Fremont	Ohio	1	M82
8739	SCT_0032	2009	Fremont	Ohio	2	M82
8564	SCT_0033	2009	Fremont	Ohio	1	OH03-6439
8702	SCT_0033	2009	Fremont	Ohio	2	OH03-6439
8643	SCT_0034	2009	Fremont	Ohio	1	OH05-8018
8667	SCT_0034	2009	Fremont	Ohio	2	OH05-8018
8569	SCT_0035	2009	Fremont	Ohio	1	OH05-8022
8776	SCT_0035	2009	Fremont	Ohio	2	OH05-8022
8605	SCT_0036	2009	Fremont	Ohio	1	OH05-8025
8646	SCT_0036	2009	Fremont	Ohio	2	OH05-8025
8591	SCT_0037	2009	Fremont	Ohio	1	OH05-8027
8783	SCT_0037	2009	Fremont	Ohio	2	OH05-8027
8636	SCT_0038	2009	Fremont	Ohio	1	OH05-8028
8736	SCT_0038	2009	Fremont	Ohio	2	OH05-8028
8570	SCT_0039	2009	Fremont	Ohio	1	OH05-8030
8677	SCT_0039	2009	Fremont	Ohio	2	OH05-8030
8592	SCT_0040	2009	Fremont	Ohio	1	OH05-8036
8758	SCT_0040	2009	Fremont	Ohio	2	OH05-8036
8640	SCT_0041	2009	Fremont	Ohio	1	OH05-8040
8686	SCT_0041	2009	Fremont	Ohio	2	OH05-8040
8583	SCT_0042	2009	Fremont	Ohio	1	OH05-8044
8656	SCT_0042	2009	Fremont	Ohio	2	OH05-8044
8626	SCT_0043	2009	Fremont	Ohio	1	OH05-8046
8723	SCT_0043	2009	Fremont	Ohio	2	OH05-8046
8554	SCT_0044	2009	Fremont	Ohio	1	OH05-8048
8661	SCT_0044	2009	Fremont	Ohio	2	OH05-8048
8632	SCT_0045	2009	Fremont	Ohio	1	OH05-8053
8750	SCT_0045	2009	Fremont	Ohio	2	OH05-8053
8565	SCT_0046	2009	Fremont	Ohio	1	OH05-8059
8784	SCT_0046	2009	Fremont	Ohio	2	OH05-8059
8526	SCT_0047	2009	Fremont	Ohio	1	OH05-8062
8697	SCT_0047	2009	Fremont	Ohio	2	OH05-8062
8508	SCT_0048	2009	Fremont	Ohio	1	OH05-8064
8724	SCT_0048	2009	Fremont	Ohio	2	OH05-8064
8546	SCT_0049	2009	Fremont	Ohio	1	OH05-8068
8701	SCT_0049	2009	Fremont	Ohio	2	OH05-8068
8528	SCT_0050	2009	Fremont	Ohio	1	OH05-8069
8773	SCT_0050	2009	Fremont	Ohio	2	OH05-8069
8624	SCT_0051	2009	Fremont	Ohio	1	OH05-8070
8769	SCT_0051	2009	Fremont	Ohio	2	OH05-8070
8634	SCT_0052	2009	Fremont	Ohio	1	OH05-8072
8743	SCT_0052	2009	Fremont	Ohio	2	OH05-8072
8543	SCT_0053	2009	Fremont	Ohio	1	OH05-8074
8785	SCT_0053	2009	Fremont	Ohio	2	OH05-8074
8549	SCT_0054	2009	Fremont	Ohio	1	OH05-8078
8753	SCT_0054	2009	Fremont	Ohio	2	OH05-8078
8567	SCT_0055	2009	Fremont	Ohio	1	OH05-8079
8673	SCT_0055	2009	Fremont	Ohio	2	OH05-8079
8614	SCT_0056	2009	Fremont	Ohio	1	OH05-8087
8775	SCT_0056	2009	Fremont	Ohio	2	OH05-8087
8518	SCT_0057	2009	Fremont	Ohio	1	OH05-8090
8655	SCT_0057	2009	Fremont	Ohio	2	OH05-8090
8620	SCT_0058	2009	Fremont	Ohio	1	OH05-8095
8781	SCT_0058	2009	Fremont	Ohio	2	OH05-8095
8524	SCT_0059	2009	Fremont	Ohio	1	OH05-8104
8669	SCT_0059	2009	Fremont	Ohio	2	OH05-8104
8604	SCT_0060	2009	Fremont	Ohio	1	OH05-8109
8774	SCT_0060	2009	Fremont	Ohio	2	OH05-8109
8563	SCT_0061	2009	Fremont	Ohio	1	OH05-8117
8748	SCT_0061	2009	Fremont	Ohio	2	OH05-8117
8598	SCT_0062	2009	Fremont	Ohio	1	OH05-8124
8742	SCT_0062	2009	Fremont	Ohio	2	OH05-8124
8594	SCT_0063	2009	Fremont	Ohio	1	OH05-8139
8665	SCT_0063	2009	Fremont	Ohio	2	OH05-8139
8575	SCT_0064	2009	Fremont	Ohio	1	OH05-8142
8770	SCT_0064	2009	Fremont	Ohio	2	OH05-8142
8510	SCT_0065	2009	Fremont	Ohio	1	OH05-8144
8672	SCT_0065	2009	Fremont	Ohio	2	OH05-8144
8637	SCT_0066	2009	Fremont	Ohio	1	OH05-8151
8744	SCT_0066	2009	Fremont	Ohio	2	OH05-8151
8611	SCT_0067	2009	Fremont	Ohio	1	OH05-8162
8751	SCT_0067	2009	Fremont	Ohio	2	OH05-8162
8619	SCT_0068	2009	Fremont	Ohio	1	OH05-8163
8645	SCT_0068	2009	Fremont	Ohio	2	OH05-8163
8552	SCT_0069	2009	Fremont	Ohio	1	OH05-8165
8763	SCT_0069	2009	Fremont	Ohio	2	OH05-8165
8610	SCT_0070	2009	Fremont	Ohio	1	OH05-8171
8666	SCT_0070	2009	Fremont	Ohio	2	OH05-8171
8613	SCT_0071	2009	Fremont	Ohio	1	OH05-8175
8728	SCT_0071	2009	Fremont	Ohio	2	OH05-8175
8595	SCT_0072	2009	Fremont	Ohio	1	OH05-8179
8714	SCT_0072	2009	Fremont	Ohio	2	OH05-8179
8581	SCT_0073	2009	Fremont	Ohio	1	OH05-8181
8765	SCT_0073	2009	Fremont	Ohio	2	OH05-8181
8618	SCT_0074	2009	Fremont	Ohio	1	OH05-8184
8726	SCT_0074	2009	Fremont	Ohio	2	OH05-8184
8578	SCT_0075	2009	Fremont	Ohio	1	OH05-8185
8759	SCT_0075	2009	Fremont	Ohio	2	OH05-8185
8541	SCT_0076	2009	Fremont	Ohio	1	OH05-8186
8715	SCT_0076	2009	Fremont	Ohio	2	OH05-8186
8545	SCT_0077	2009	Fremont	Ohio	1	OH05-8187
8786	SCT_0077	2009	Fremont	Ohio	2	OH05-8187
8590	SCT_0078	2009	Fremont	Ohio	1	OH05-8188
8732	SCT_0078	2009	Fremont	Ohio	2	OH05-8188
8601	SCT_0079	2009	Fremont	Ohio	1	OH05-8192
8654	SCT_0079	2009	Fremont	Ohio	2	OH05-8192
8571	SCT_0080	2009	Fremont	Ohio	1	OH05-8193
8788	SCT_0080	2009	Fremont	Ohio	2	OH05-8193
8576	SCT_0081	2009	Fremont	Ohio	1	OH05-8197
8729	SCT_0081	2009	Fremont	Ohio	2	OH05-8197
8521	SCT_0082	2009	Fremont	Ohio	1	OH05-8206
8735	SCT_0082	2009	Fremont	Ohio	2	OH05-8206
8550	SCT_0083	2009	Fremont	Ohio	1	OH05-8210
8668	SCT_0083	2009	Fremont	Ohio	2	OH05-8210
8522	SCT_0084	2009	Fremont	Ohio	1	OH05-8214
8771	SCT_0084	2009	Fremont	Ohio	2	OH05-8214
8557	SCT_0085	2009	Fremont	Ohio	1	OH08-5201
8782	SCT_0085	2009	Fremont	Ohio	2	OH08-5201
8616	SCT_0086	2009	Fremont	Ohio	1	OH08-5202
8760	SCT_0086	2009	Fremont	Ohio	2	OH08-5202
8516	SCT_0087	2009	Fremont	Ohio	1	OH08-5203
8711	SCT_0087	2009	Fremont	Ohio	2	OH08-5203
8505	SCT_0088	2009	Fremont	Ohio	1	OH08-5204
8676	SCT_0088	2009	Fremont	Ohio	2	OH08-5204
8542	SCT_0089	2009	Fremont	Ohio	1	OH08-5205
8698	SCT_0089	2009	Fremont	Ohio	2	OH08-5205
8556	SCT_0090	2009	Fremont	Ohio	1	OH08-5206
8777	SCT_0090	2009	Fremont	Ohio	2	OH08-5206
8547	SCT_0091	2009	Fremont	Ohio	1	OH08-5207
