	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8901-1	8901	2009_oh_8901_fruit-t.jpg	1	21.0057	28.8709	6.3754	6.4643	4.9276	5.4991	0.8507	0.7729	0.9363	0.7869	1.1899	0.8587	0.9474	0.5603	0	0.1005	213.0312	148.8847	0.2095	176.0608	112.4675	0	0	0	0.2131	5.662	0	16.1378	0.4134	0.7176	0.8908	0.8883	0.775	0.4559	
8901-2	8901	2009_oh_8901_fruit-t.jpg	2	19.6379	25.6104	5.8801	5.9944	4.826	5.3721	0.8962	0.8207	0.9309	0.7754	1.2006	0.8614	0.9626	0.5226	1.7061	0.0774	221.4544	145.0085	0.1826	175.1751	109.8469	0	0	0	0.2349	7.5261	0	16.518	0.3664	0.7156	0.8882	0.8856	0.8207	0.4503	
8901-3	8901	2009_oh_8901_fruit-t.jpg	3	18.7242	23.3851	5.7404	5.7658	4.5974	5.0292	0.8722	0.8009	0.8916	0.7898	1.1289	0.9159	0.9619	0.5493	1.6244	0.0741	221.0853	136.4939	0.157	179.7819	115.7301	0.0001	0	0	0.1676	2.6228	0	10.3355	0.447	0.7291	0.8889	0.8862	0.8	0.4384	
8901-4	8901	2009_oh_8901_fruit-t.jpg	4	18.0441	22.4004	5.5118	5.5626	4.7117	5.0165	0.9018	0.8548	0.8871	0.7719	1.1493	0.9468	0.9776	0.5342	1.1984	0.0528	208.9315	128.6472	0.1078	176.7562	110.0528	0	0	0	0.1673	2.9721	0	9.9886	0.4633	0.7513	0.8889	0.8889	0.8555	0.4208	
8901-5	8901	2009_oh_8901_fruit-t.jpg	5	16.4877	18.8403	4.9022	4.9403	4.3942	4.6609	0.9434	0.8964	0.9041	0.8161	1.1079	0.9432	0.9864	0.5413	0.9448	0.0413	192.8854	125.0509	0.0886	183.7066	115.1947	0.0008	0	0	0.0786	3.9809	0	6.7371	0.545	0.7541	0.8903	0.8903	0.8961	0.4284	
8901-6	8901	2009_oh_8901_fruit-t.jpg	6	17.2703	18.7896	4.9657	5.0165	4.4196	4.7879	0.9544	0.89	0.8849	0.7647	1.1572	0.9153	0.9791	0.5146	1.056	0.046	204.524	131.4444	0.1088	165.512	105.5134	0	0	0	0.147	6.234	0	10.6599	0.4374	0.7979	0.9772	0.8902	0.9868	0.3851	
8902-1	8902	2009_oh_8902_fruit-t.jpg	1	28.2437	46.6935	8.8392	8.8646	5.5372	6.604	0.745	0.6264	0.8994	0.8103	1.1099	0.7684	0.8479	0.5449	0	0.1065	222.8446	165.8479	0.3439	176.7577	136.0673	0.0001	0	0	0.1443	6.6757	0	8.3534	0.465	0.6795	0.9026	0.8889	0.6519	0.4843	
8902-2	8902	2009_oh_8902_fruit-t.jpg	2	27.923	46.6702	8.7884	8.8646	5.588	6.6548	0.7507	0.6358	0.9017	0.8179	1.1025	0.7666	0.8532	0.541	0	0.1303	233.9457	165.0664	0.3605	171.349	127.6484	0	0	0	0.1698	7.3142	0	8.773	0.4116	0.6743	0.8889	0.8844	0.6423	0.4764	
8902-3	8902	2009_oh_8902_fruit-t.jpg	3	24.7143	36.3128	8.128	8.1788	4.2164	5.842	0.7143	0.5188	0.8812	0.8156	1.0805	0.657	0.7401	0.5142	0	0.1588	214.3168	169.9999	0.4496	179.9442	147.7433	0.0585	0	0	0.1505	12.4541	0	9.028	0.4478	0.5764	0.8919	0.8859	0.5156	0.5285	
