	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	image files	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
8645-1	8645	2010_oh_8645_fruit-c.jpg	1	1.15	72.09	154.5095	76.0765	52.9863	97.6272	40.7193	34.5325	29.1018	40.122	45.1598	 
8645-2	8645	2010_oh_8645_fruit-c.jpg	2	2.19	70.95	148.3337	75.0408	52.8295	94.6399	39.5352	32.4887	27.6689	40.4193	42.6742	 
8645-3	8645	2010_oh_8645_fruit-c.jpg	3	3.52	75.3	150.0152	80.4334	61.6137	99.5769	41.0404	30.7967	24.7267	38.761	39.4948	 
8645-4	8645	2010_oh_8645_fruit-c.jpg	4	2.12	73.41	154.3535	80.0711	60.459	101.0485	41.6411	32.841	26.2323	38.6168	42.0317	 
8645-5	8645	2010_oh_8645_fruit-c.jpg	5	2.43	72.24	148.5801	75.5248	55.1956	95.8552	39.7352	32.4966	26.5396	39.238	41.9569	 
8645-6	8645	2010_oh_8645_fruit-c.jpg	6	3.29	66.03	151.9358	82.5048	62.5421	100.9134	41.8131	30.5605	25.2485	39.5628	39.6413	 
8645-7	8645	2010_oh_8645_fruit-c.jpg	7	2.74	56.88	154.1309	80.9713	55.0623	98.4301	41.7329	31.796	29.1286	42.4931	43.1215	 
8645-8	8645	2010_oh_8645_fruit-c.jpg	8	2.65	50.62	149.8802	78.6368	52.6518	95.2971	40.524	31.0728	28.9299	42.9547	42.4554	 
8645-9	8645	2010_oh_8645_fruit-c.jpg	9	1.71	53.49	140.9816	74.4227	50.1708	89.9128	38.2679	29.4522	27.3304	42.86	40.1794	 
8646-1	8646	2010_oh_8646_fruit-c.jpg	1	4.11	31.11	152.5965	86.1219	57.8468	98.9771	42.6442	28.4896	28.7476	45.2583	40.4733	 
8646-2	8646	2010_oh_8646_fruit-c.jpg	2	1.59	53.87	150.7784	78.3969	53.4657	96.0886	40.6515	31.6789	28.6224	42.0983	42.6942	 
8646-3	8646	2010_oh_8646_fruit-c.jpg	3	1.53	65.22	146.6699	73.8906	50.9137	92.9765	39.0379	32.2642	27.9536	40.9056	42.6894	 
8646-4	8646	2010_oh_8646_fruit-c.jpg	4	1.04	34.25	140.281	73.4333	46.1917	87.741	37.9056	29.4311	29.0048	44.582	41.3215	 
8646-5	8646	2010_oh_8646_fruit-c.jpg	5	1.31	38.83	152.9014	82.0211	55.5494	98.0773	41.7399	30.6879	28.8497	43.2317	42.1195	 
8646-6	8646	2010_oh_8646_fruit-c.jpg	6	1.35	34.29	144.9045	77.8777	51.6051	92.4487	39.6321	29.3085	28.2452	43.9415	40.7035	 
8646-7	8646	2010_oh_8646_fruit-c.jpg	7	0.84	70.33	139.7245	69.9666	48.4527	88.5463	37.0772	31.362	26.9213	40.643	41.3319	 
8646-8	8646	2010_oh_8646_fruit-c.jpg	8	2.74	63.92	143.2279	72.5442	49.3948	90.6427	38.2208	31.4159	27.7065	41.41	41.8881	 
8646-9	8646	2010_oh_8646_fruit-c.jpg	9	3.04	48.26	140.0213	78.9233	57.2173	92.7917	39.2165	27.0308	24.6834	42.4011	36.6051	 
8647-1	8647	2010_oh_8647_fruit-c.jpg	1	11.62	58.4	142.4421	78.0012	52.9037	91.9249	39.4099	28.0721	26.9986	43.8833	38.9483	 
8647-2	8647	2010_oh_8647_fruit-c.jpg	2	0.69	93.84	125.9206	58.0868	45.1755	80.4849	32.3698	31.8959	22.7646	35.516	39.1864	 
8647-3	8647	2010_oh_8647_fruit-c.jpg	3	0.66	91.76	131.0676	63.0071	48.2874	84.377	34.2533	31.5142	23.4012	36.5961	39.2525	 
8647-4	8647	2010_oh_8647_fruit-c.jpg	4	0.94	83.13	132.881	65.0237	47.9164	85.053	35.007	31.168	24.5636	38.2418	39.6839	 
8647-5	8647	2010_oh_8647_fruit-c.jpg	5	0.67	91.72	128.1389	60.1537	45.4498	81.6683	33.1618	31.6757	23.6015	36.6897	39.5016	 
8647-6	8647	2010_oh_8647_fruit-c.jpg	6	1.01	94.76	135.9055	63.629	50.1977	87.5149	35.2006	33.4174	23.6059	35.2372	40.9141	 
8647-7	8647	2010_oh_8647_fruit-c.jpg	7	0.73	86.27	132.3968	63.086	45.484	83.6985	34.4638	31.8338	25.233	38.402	40.6214	 
8647-8	8647	2010_oh_8647_fruit-c.jpg	8	1.45	92.11	136.0027	62.7362	47.7735	86.4285	35.0249	33.742	24.7581	36.2693	41.8508	 
8647-9	8647	2010_oh_8647_fruit-c.jpg	9	0.53	88.58	123.568	59.1712	44.4852	79.0359	32.2351	30.1808	22.9055	37.1965	37.8886	 
8648-1	8648	2010_oh_8648_fruit-c.jpg	1	1.47	70.21	144.1004	72.3564	50.5133	91.5297	38.3452	32.0366	27.291	40.4267	42.0849	 
8648-2	8648	2010_oh_8648_fruit-c.jpg	2	1.74	81.84	146.4395	73.6591	58.0487	96.2081	39.0456	32.8094	24.1295	36.3325	40.727	 
8648-3	8648	2010_oh_8648_fruit-c.jpg	3	0.77	81.43	148.4249	73.9517	56.6023	96.4501	39.4058	33.4236	25.3671	37.197	41.9599	 
8648-4	8648	2010_oh_8648_fruit-c.jpg	4	2.97	58.89	151.6292	81.9343	58.6057	98.8905	41.592	30.4535	26.8909	41.445	40.6268	 
8648-5	8648	2010_oh_8648_fruit-c.jpg	5	2.88	63.29	147.2545	80.7585	59.2821	97.178	40.6613	29.2619	25.4194	40.9804	38.7608	 
