	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
8645-1	8645	2010_oh_8645_fruit-c.jpg	1	0.6017	0.449	0.2538	
8645-2	8645	2010_oh_8645_fruit-c.jpg	2	1.8501	0.4463	0.2579	
8645-3	8645	2010_oh_8645_fruit-c.jpg	3	1.3801	0.4314	0.2565	
8645-4	8645	2010_oh_8645_fruit-c.jpg	4	1.2679	0.4487	0.2488	
8645-5	8645	2010_oh_8645_fruit-c.jpg	5	1.4815	0.449	0.2553	
8645-6	8645	2010_oh_8645_fruit-c.jpg	6	1.6807	0.4469	0.254	
8645-7	8645	2010_oh_8645_fruit-c.jpg	7	1.357	0.4499	0.2541	
8645-8	8645	2010_oh_8645_fruit-c.jpg	8	1.1214	0.4512	0.2569	
8645-9	8645	2010_oh_8645_fruit-c.jpg	9	2.2253	0.4504	0.2542	
8646-1	8646	2010_oh_8646_fruit-c.jpg	1	0.8595	0.4502	0.254	
8646-2	8646	2010_oh_8646_fruit-c.jpg	2	0.9067	0.4498	0.2564	
8646-3	8646	2010_oh_8646_fruit-c.jpg	3	1.2724	0.4501	0.254	
8646-4	8646	2010_oh_8646_fruit-c.jpg	4	0.9241	0.4514	0.2598	
8646-5	8646	2010_oh_8646_fruit-c.jpg	5	1.0038	0.4518	0.2589	
8646-6	8646	2010_oh_8646_fruit-c.jpg	6	0.6989	0.4513	0.2574	
8646-7	8646	2010_oh_8646_fruit-c.jpg	7	1.8621	0.4505	0.2515	
8646-8	8646	2010_oh_8646_fruit-c.jpg	8	1.0268	0.4516	0.25	
8646-9	8646	2010_oh_8646_fruit-c.jpg	9	1.9083	0.452	0.2578	
8647-1	8647	2010_oh_8647_fruit-c.jpg	1	0.6852	0.4489	0.2551	
8647-2	8647	2010_oh_8647_fruit-c.jpg	2	0.549	0.4495	0.2539	
8647-3	8647	2010_oh_8647_fruit-c.jpg	3	0.9435	0.4505	0.2582	
8647-4	8647	2010_oh_8647_fruit-c.jpg	4	0.7503	0.4493	0.2567	
8647-5	8647	2010_oh_8647_fruit-c.jpg	5	0.4871	0.4472	0.2586	
8647-6	8647	2010_oh_8647_fruit-c.jpg	6	0.9004	0.4498	0.2557	
8647-7	8647	2010_oh_8647_fruit-c.jpg	7	0.5594	0.4506	0.2557	
8647-8	8647	2010_oh_8647_fruit-c.jpg	8	0.4481	0.4484	0.25	
8647-9	8647	2010_oh_8647_fruit-c.jpg	9	1.2385	0.4445	0.2584	
8648-1	8648	2010_oh_8648_fruit-c.jpg	1	0.6028	0.4493	0.2574	
8648-2	8648	2010_oh_8648_fruit-c.jpg	2	0.9545	0.431	0.2553	
8648-3	8648	2010_oh_8648_fruit-c.jpg	3	2.0098	0.4494	0.2538	
8648-4	8648	2010_oh_8648_fruit-c.jpg	4	0.7825	0.4492	0.2526	
8648-5	8648	2010_oh_8648_fruit-c.jpg	5	0.9063	0.4363	0.2566	
