	Tomato Analyzer - Shape Individual Data																		 																				
	Plot #	SCT #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	sct#	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8901-1	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	1	17.2727	20.0542	5.08	5.1308	4.5212	4.9276	0.9604	0.89	0.895	0.78	1.1474	0.9678	0.9664	0.5402	.	0.049	216.4445	127.2417	0.0608	163.9282	110.8412	0	0	0	0.1543	0.0259	0	0.0467	0.4485	0.7358	0.8931	0.8875	0.8875	0.4259	 
8901-2	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	2	16.3336	18.1471	5.08	5.1308	3.9878	4.3434	0.8465	0.785	0.895	0.815	1.0982	0.968	0.9344	0.5553	.	0.0439	215.3663	135.9833	0.0622	188.0722	122.333	0.0025	0.0064	0	0.167	0.008	0	0.0351	0.4386	0.7294	0.8921	0.8794	0.775	0.446	 
8901-3	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	3	15.7415	17.4084	4.7498	4.7498	4.318	4.5212	0.9519	0.9091	0.8984	0.7807	1.1507	0.9748	0.973	0.5314	.	0.0337	225.3688	123.6768	0.0293	164.6561	103.0965	0	0	0	0.1566	0.0094	0	0.0406	0.4607	0.7684	0.8947	0.8889	0.9189	0.4141	 
8901-4	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	4	16.642	18.7103	5.0292	5.0292	4.2418	4.5974	0.9141	0.8434	0.8939	0.7677	1.1645	0.9658	0.9581	0.5428	.	0.0583	238.6383	132.8553	0.0645	177.9386	110.0574	0	0	0	0.1524	0.0197	0	0.0511	0.4586	0.7333	0.8919	0.88	0.8354	0.4352	 
8901-5	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	5	15.3376	16.2361	4.8006	4.8006	3.937	4.191	0.873	0.8201	0.8677	0.7778	1.1156	0.9733	0.9536	0.5281	.	0.0515	237.3387	130.1356	0.0588	179.8805	113.3801	0	0	0	0.1333	0.0161	0	0.0335	0.4909	0.7439	0.8905	0.8777	0.8133	0.4289	 
8901-6	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	6	15.3351	16.1361	4.6736	4.7752	3.937	4.2164	0.883	0.8424	0.8859	0.7772	1.1399	0.9699	0.9562	0.5332	.	0.0422	232.6746	132.3943	0.0368	177.2702	115.1098	0	0	0	0.1845	0.0135	0	0.0402	0.4217	0.7394	0.8841	0.8777	0.8356	0.4407	 
8901-7	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	7	14.1594	14.02	4.445	4.4958	3.6322	3.8354	0.8531	0.8171	0.9029	0.7771	1.1618	0.9725	0.949	0.5388	.	0.0397	222.7499	132.3121	0.046	172.9619	110.2491	0	0	0	0.2296	0.0034	0	0.0397	0.3775	0.7467	0.8889	0.875	0.8116	0.4414	 
8901-8	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	8	14.2734	13.9677	4.445	4.4704	3.683	3.9116	0.875	0.8286	0.8743	0.7886	1.1087	0.9736	0.9492	0.5401	.	0.0422	217.5239	131.2596	0.0536	176.4672	110.6621	0	0	0	0.1648	0.014	0	0.0297	0.4416	0.7451	0.8906	0.8769	0.8261	0.4293	 
8901-9	8901	SCT_0325	2010_oh_8901_fruit-t.jpg	9	13.8818	13.5542	4.1656	4.191	3.8608	4.0132	0.9576	0.9268	0.8659	0.7866	1.1008	0.9789	0.9783	0.5251	.	0.0316	217.0375	114.0884	0.0443	180	102.7286	0	0	0	0.1125	0.0055	0	0.0218	0.4937	0.7643	0.8889	0.8824	0.9231	0.4168	 
8902-1	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	1	24.5557	33.5935	7.6454	7.6962	4.1656	5.461	0.7096	0.5449	0.907	0.8505	1.0664	0.9331	0.8469	0.5715	.	0.0722	240.459	174.009	0.0966	194.4548	137.3239	0.0378	0.0157	0.0474	0	0.073	0.0774	0	0.4303	0.6449	0.9324	0.8961	0.5897	0.5129	 
8902-2	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	2	22.0495	29.8083	7.0612	7.0866	3.937	5.1054	0.7204	0.5576	0.9388	0.8273	1.1348	0.9389	0.864	0.6032	.	0.1294	226.4128	167.5278	0.2325	230.8631	132.4395	0.0729	0.019	0	0.1773	0.0322	0	0.0655	0.4328	0.61	0.8905	0.8841	0.5495	0.5396	 
8902-3	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	3	19.7009	25.2922	6.3754	6.4262	4.1402	4.8514	0.7549	0.6494	0.9044	0.8207	1.1019	0.9501	0.886	0.5662	.	0.0892	221.5924	158.8928	0.1492	183.3529	130.7533	0.0003	0.0082	0	0.1541	0.0341	0	0.0515	0.4503	0.6737	0.8889	0.8767	0.64	0.4871	 
8902-4	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	4	19.5633	25.0825	6.2738	6.3246	4.2164	4.8768	0.7711	0.6721	0.9312	0.8057	1.1558	0.9521	0.8937	0.5658	.	0.1021	215.4924	156.0023	0.1883	176.356	130.0887	0.0067	0.0481	0	0.1895	0.0374	0	0.0608	0.3958	0.6911	0.898	0.8859	0.6735	0.4773	 
8902-5	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	5	18.5463	22.7838	5.9182	5.969	4.191	4.699	0.7872	0.7082	0.9099	0.8069	1.1277	0.9581	0.9069	0.5647	.	0.0732	218.9982	152.0559	0.1192	177.2793	122.8176	0	0	0	0.1772	0.0248	0	0.0533	0.4324	0.7065	0.8904	0.8784	0.7065	0.468	 
8902-6	8902	SCT_0287	2010_oh_8902_fruit-t.jpg	6	16.6025	18.5703	5.207	5.2578	3.9624	4.3688	0.8309	0.761	0.9171	0.7659	1.1975	0.9595	0.9251	0.5495	.	0.0555	246.8853	153.5772	0.0622	179.0618	113.2415	0	0	0	0.19	0.0198	0	0.0544	0.4128	0.7251	0.8986	0.8857	0.7654	0.4519	 
8903-1	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	1	14.7189	13.2013	3.683	3.7846	4.572	4.6101	1.2181	1.2414	0.6828	0.869	0.7857	0.9671	0.9138	0.4271	.	0.0106	218.298	67.752	0.0088	174.2696	96.003	0	0	0.1859	0	0.091	0.1285	0	0.5594	0.7624	0.8679	0.8679	1.1897	0.3856	 
8903-2	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	2	14.1896	12.4282	3.1496	3.2004	4.6609	4.7498	1.4841	1.4798	0.8226	0.9032	0.9107	0.9608	0.8693	0.5506	.	0.0075	200.7011	66.9774	0.0228	171.8877	83.7692	0	0	0.1624	0	0.0367	0.0567	0	0.5514	0.7721	0.8754	0.878	1.4257	0.407	 
8903-3	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	3	13.1819	11.9132	3.429	3.4544	4.3688	4.445	1.2868	1.2741	0.763	0.8185	0.9321	0.9734	0.9131	0.4871	.	0.0186	219.5986	75.1493	0.0202	171.4496	86.4651	0	0	0.1004	0	0.0146	0.0344	0	0.4743	0.7851	0.8896	0.8867	1.2685	0.3707	 
8903-4	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	4	14.0576	11.7135	3.3147	3.3655	4.4577	4.5593	1.3547	1.3448	0.7088	0.8659	0.8186	0.9647	0.8916	0.4607	.	0	158.5717	64.7545	0	172.9838	86.0954	0	0	0.1913	0	0.0534	0.103	0	0.5556	0.7151	0.8258	0.8591	1.2075	0.4131	 
8903-5	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	5	12.293	10.3424	2.9972	3.0226	4.2418	4.2418	1.4034	1.4153	0.8008	0.8432	0.9497	0.9667	0.8813	0.4977	.	0	176.0157	66.8896	0	167.8662	76.7205	0	0	0.1054	0	0.0323	0.0455	0	0.479	0.7988	0.8896	0.8867	1.4149	0.3875	 
8903-6	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	6	12.5259	9.7206	3.1369	3.175	3.9751	4.0005	1.26	1.2672	0.749	0.8097	0.925	0.9749	0.9173	0.449	.	0.0041	159.6253	77.1486	0.0071	182.2276	86.9257	0	0	0.1476	0	0.0572	0.06	0	0.5326	0.7389	0.8467	0.8593	1.1837	0.4074	 
8903-7	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	7	12.57	9.9811	2.9591	2.9845	4.2164	4.2672	1.4298	1.4249	0.7811	0.8283	0.943	0.9689	0.8813	0.5026	.	0.0042	193.74	66.9476	0.0097	163.869	78.715	0	0	0.1442	0	0.0223	0.027	0	0.535	0.7821	0.8881	0.8763	1.3789	0.3682	 
8903-8	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	8	10.5596	7.7906	2.8321	2.8829	3.4036	3.4417	1.1938	1.2018	0.7668	0.861	0.8906	0.9767	0.9345	0.4911	.	0.0074	208.1552	83.614	0.006	169.2403	97.0491	0	0	0.164	0	0.0154	0.0518	0	0.5424	0.7926	0.8917	0.888	1.2159	0.3876	 
8903-9	8903	SCT_0289	2010_oh_8903_fruit-t.jpg	9	11.3309	8.8685	2.8829	2.8829	3.8354	3.8989	1.3524	1.3304	0.8062	0.8282	0.9734	0.9697	0.9021	0.4985	.	0.0081	196.2162	74.0291	0.02	176.7977	94.688	0	0	0	0.1071	0.0124	0	0.0262	0.4951	0.7843	0.8889	0.8856	1.3333	0.3829	 
8904-1	8904	SCT_0295	2010_oh_8904_fruit-t.jpg	1	22.4272	33.4064	7.3152	7.3406	5.3086	5.9436	0.8097	0.7257	0.8646	0.7465	1.1581	0.959	0.909	0.4928	.	0.0774	213.7409	148.2792	0.1835	177.4155	128.7523	0	0	0	0.152	0.0647	0	0.0785	0.4786	0.7124	0.8973	0.883	0.7217	0.4209	 
