	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	 File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
1004-1	1004	2009_ca_1004_fruit_c.jpg	1	.	.	136.3863	47.6171	39.1264	82.3947	34.9949	42.0647	24.1576	29.8686	48.508	data normalized to color checker
1004-2	1004	2009_ca_1004_fruit_c.jpg	2	.	.	137.659	54.1768	44.7202	85.4048	36.4848	39.5519	22.7966	29.9579	45.6513	data normalized to color checker
1004-3	1004	2009_ca_1004_fruit_c.jpg	3	.	.	138.6849	65.6237	50.9893	88.9618	38.9152	33.9772	22.2131	33.1753	40.594	data normalized to color checker
1004-4	1004	2009_ca_1004_fruit_c.jpg	4	.	.	136.1452	54.6041	43.8699	84.468	36.2549	38.6268	22.9176	30.681	44.9137	data normalized to color checker
1004-5	1004	2009_ca_1004_fruit_c.jpg	5	.	.	139.2424	53.4297	42.0476	84.9708	36.5928	40.2893	24.4796	31.2827	47.1432	data normalized to color checker
1005-1	1005	2009_ca_1005_fruit_c.jpg	1	.	.	147.2048	57.6813	47.7441	91.3804	38.708	41.6879	24.1809	30.1157	48.1934	data normalized to color checker
1005-2	1005	2009_ca_1005_fruit_c.jpg	2	.	.	143.3623	56.168	46.5958	88.9411	37.8562	40.8044	23.6757	30.1233	47.1756	data normalized to color checker
1005-3	1005	2009_ca_1005_fruit_c.jpg	3	.	.	147.9213	65.575	59.6266	96.7752	40.4771	38.6145	19.505	26.7993	43.2611	data normalized to color checker
1005-4	1005	2009_ca_1005_fruit_c.jpg	4	.	.	150.7048	69.2842	50.6073	94.5837	41.4961	36.8771	26.1171	35.3069	45.1888	data normalized to color checker
1005-5	1005	2009_ca_1005_fruit_c.jpg	5	.	.	153.5414	72.9126	62.1172	100.8435	42.843	36.9126	21.4163	30.1219	42.6755	data normalized to color checker
1007-1	1007	2009_ca_1007_fruit_c.jpg	1	.	.	166.1778	104.7492	27.9714	91.3397	51.0982	21.5356	47.7233	65.7123	52.3574	data normalized to color checker
1007-2	1007	2009_ca_1007_fruit_c.jpg	2	.	.	162.9173	100.6239	29.4608	90.4694	49.7809	22.6421	45.4692	63.5283	50.7948	data normalized to color checker
1007-3	1007	2009_ca_1007_fruit_c.jpg	3	.	.	151.45	85.471	29.6038	85.1743	44.7611	26.5184	40.3247	56.6702	48.2629	data normalized to color checker
1007-4	1007	2009_ca_1007_fruit_c.jpg	4	.	.	167.536	118.5109	40.699	97.9717	54.6401	14.2684	46.2783	72.8646	48.4279	data normalized to color checker
1007-5	1007	2009_ca_1007_fruit_c.jpg	5	.	.	167.6842	121.169	43.5794	99.3918	55.3145	12.9427	45.8438	74.2345	47.6357	data normalized to color checker
1008-1	1008	2009_ca_1008_fruit_c.jpg	1	.	.	144.8003	61.7828	51.8973	92.1826	39.2091	38.7062	22.3407	29.993	44.6909	data normalized to color checker
1008-2	1008	2009_ca_1008_fruit_c.jpg	2	.	.	135.5031	54.7336	44.6047	84.598	36.1724	38.2851	22.3655	30.2928	44.3392	data normalized to color checker
1008-3	1008	2009_ca_1008_fruit_c.jpg	3	.	.	148.5	69.1102	51.1204	93.6569	41.152	36.073	25.3479	35.0951	44.0883	data normalized to color checker
1008-4	1008	2009_ca_1008_fruit_c.jpg	4	.	.	142.5833	60.367	47.4702	89.2467	38.4619	38.2755	23.8724	31.9518	45.1099	data normalized to color checker
