	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
1003-1	1003	2009_ca_1003_fruit_c.jpg	1	1.8381	0.4379	0.2555	
1003-2	1003	2009_ca_1003_fruit_c.jpg	2	1.1243	0.4317	0.2526	
1003-3	1003	2009_ca_1003_fruit_c.jpg	3	1.1111	0.4399	0.2561	
1003-4	1003	2009_ca_1003_fruit_c.jpg	4	0.7712	0.4351	0.2516	
1003-5	1003	2009_ca_1003_fruit_c.jpg	5	3.5231	0.4444	0.2539	
1004-1	1004	2009_ca_1004_fruit_c.jpg	1	1.3129	0.4457	0.2538	
1004-2	1004	2009_ca_1004_fruit_c.jpg	2	2.3981	0.4451	0.2533	
1004-3	1004	2009_ca_1004_fruit_c.jpg	3	1.0435	0.4458	0.2517	
1004-4	1004	2009_ca_1004_fruit_c.jpg	4	1.9326	0.4455	0.25	
1004-5	1004	2009_ca_1004_fruit_c.jpg	5	0.9475	0.4462	0.2548	
1005-1	1005	2009_ca_1005_fruit_c.jpg	1	1.2974	0.4475	0.2533	
1005-2	1005	2009_ca_1005_fruit_c.jpg	2	1.4423	0.4468	0.257	
1005-3	1005	2009_ca_1005_fruit_c.jpg	3	1.5914	0.4468	0.2557	
1005-4	1005	2009_ca_1005_fruit_c.jpg	4	0.6696	0.4486	0.2559	
1005-5	1005	2009_ca_1005_fruit_c.jpg	5	1.7203	0.4468	0.2565	
1007-1	1007	2009_ca_1007_fruit_c.jpg	1	0.7768	0.4501	0.2552	
1007-2	1007	2009_ca_1007_fruit_c.jpg	2	0.7252	0.4526	0.2565	
1007-3	1007	2009_ca_1007_fruit_c.jpg	3	2.2413	0.4516	0.253	
1007-4	1007	2009_ca_1007_fruit_c.jpg	4	0.59	0.4485	0.255	
1007-5	1007	2009_ca_1007_fruit_c.jpg	5	0.6439	0.4496	0.2552	
1008-1	1008	2009_ca_1008_fruit_c.jpg	1	1.8251	0.4462	0.2529	
1008-2	1008	2009_ca_1008_fruit_c.jpg	2	1.5499	0.4421	0.254	
1008-3	1008	2009_ca_1008_fruit_c.jpg	3	2.8364	0.4434	0.2492	
1008-4	1008	2009_ca_1008_fruit_c.jpg	4	2.9515	0.4424	0.2517	
1008-5	1008	2009_ca_1008_fruit_c.jpg	5	2.2757	0.4435	0.25	
1009-1	1009	2009_ca_1009_fruit_c.jpg	1	2.2443	0.4406	0.2543	
1009-2	1009	2009_ca_1009_fruit_c.jpg	2	0.7102	0.4496	0.2579	
1009-3	1009	2009_ca_1009_fruit_c.jpg	3	0.9038	0.4392	0.2511	
1009-4	1009	2009_ca_1009_fruit_c.jpg	4	1.018	0.4297	0.2532	
1009-5	1009	2009_ca_1009_fruit_c.jpg	5	0.6717	0.4353	0.2512	
1011-1	1011	2009_ca_1011_fruit_c.jpg	1	1.2589	0.445	0.255	
1011-2	1011	2009_ca_1011_fruit_c.jpg	2	2.2154	0.4253	0.2519	
1011-3	1011	2009_ca_1011_fruit_c.jpg	3	2.5366	0.4447	0.25	
1011-4	1011	2009_ca_1011_fruit_c.jpg	4	1.0656	0.447	0.2552	
1011-5	1011	2009_ca_1011_fruit_c.jpg	5	1.0679	0.4375	0.2562	
1012-1	1012	2009_ca_1012_fruit_c.jpg	1	1.5997	0.4485	0.2522	
1012-2	1012	2009_ca_1012_fruit_c.jpg	2	1.4495	0.4458	0.2536	
1012-3	1012	2009_ca_1012_fruit_c.jpg	3	1.2512	0.4485	0.2512	
1012-4	1012	2009_ca_1012_fruit_c.jpg	4	1.3882	0.4498	0.2562	
1012-5	1012	2009_ca_1012_fruit_c.jpg	5	1.1431	0.4482	0.2511	
1013-1	1013	2009_ca_1013_fruit_c.jpg	1	0.5986	0.4394	0.2543	
1013-2	1013	2009_ca_1013_fruit_c.jpg	2	1.6519	0.4475	0.2512	
1013-3	1013	2009_ca_1013_fruit_c.jpg	3	2.2169	0.447	0.2527	
1013-4	1013	2009_ca_1013_fruit_c.jpg	4	0.5723	0.4447	0.2533	
1013-5	1013	2009_ca_1013_fruit_c.jpg	5	0.4776	0.4514	0.2615	
1014-1	1014	2009_ca_1014_fruit_c.jpg	1	1.6708	0.4421	0.2525	
1014-2	1014	2009_ca_1014_fruit_c.jpg	2	2.0712	0.4442	0.2507	
1014-3	1014	2009_ca_1014_fruit_c.jpg	3	1.4234	0.4445	0.2526	
1014-4	1014	2009_ca_1014_fruit_c.jpg	4	2.1823	0.4434	0.2535	
1014-5	1014	2009_ca_1014_fruit_c.jpg	5	1.2809	0.4462	0.2554	
1015-1	1015	2009_ca_1015_fruit_c.jpg	1	1.8072	0.446	0.2543	
1015-2	1015	2009_ca_1015_fruit_c.jpg	2	1.2848	0.4442	0.2542	
1015-3	1015	2009_ca_1015_fruit_c.jpg	3	1.0929	0.4461	0.2565	
1015-4	1015	2009_ca_1015_fruit_c.jpg	4	1.9326	0.4467	0.2559	
1015-5	1015	2009_ca_1015_fruit_c.jpg	5	1.3409	0.4453	0.2539	
1016-1	1016	2009_ca_1016_fruit_c.jpg	1	1.4105	0.4445	0.2547	
1016-2	1016	2009_ca_1016_fruit_c.jpg	2	1.5314	0.4256	0.2547	
1016-3	1016	2009_ca_1016_fruit_c.jpg	3	1.8876	0.4473	0.2532	
1016-4	1016	2009_ca_1016_fruit_c.jpg	4	2.1591	0.448	0.2532	
1016-5	1016	2009_ca_1016_fruit_c.jpg	5	0.879	0.4459	0.2565	
1017-1	1017	2009_ca_1017_fruit_c.jpg	1	1.0392	0.4271	0.2558	
1017-2	1017	2009_ca_1017_fruit_c.jpg	2	2.9667	0.4433	0.2555	
1017-3	1017	2009_ca_1017_fruit_c.jpg	3	1.0975	0.4301	0.2605	
1017-4	1017	2009_ca_1017_fruit_c.jpg	4	1.7603	0.4419	0.2562	
1017-5	1017	2009_ca_1017_fruit_c.jpg	5	1.6471	0.4279	0.2572	
1019-1	1019	2009_ca_1019_fruit_c.jpg	1	0.6235	0.4512	0.2557	
1019-2	1019	2009_ca_1019_fruit_c.jpg	2	2.1869	0.4487	0.2549	
1019-3	1019	2009_ca_1019_fruit_c.jpg	3	1.2128	0.4508	0.2571	
1019-4	1019	2009_ca_1019_fruit_c.jpg	4	1.5409	0.4479	0.2514	
1019-5	1019	2009_ca_1019_fruit_c.jpg	5	1.1083	0.4477	0.2525	
1021-1	1021	2009_ca_1021_fruit_c.jpg	1	1.2419	0.4464	0.2538	
1021-2	1021	2009_ca_1021_fruit_c.jpg	2	0.8296	0.4433	0.2553	
1021-3	1021	2009_ca_1021_fruit_c.jpg	3	1.0941	0.4464	0.2539	
1021-4	1021	2009_ca_1021_fruit_c.jpg	4	0.7743	0.4451	0.2482	
1021-5	1021	2009_ca_1021_fruit_c.jpg	5	1.1092	0.4462	0.25	
1023-1	1023	2009_ca_1023_fruit_c.jpg	1	1.9967	0.4386	0.25	
1023-2	1023	2009_ca_1023_fruit_c.jpg	2	1.9744	0.4385	0.25	
1023-3	1023	2009_ca_1023_fruit_c.jpg	3	1.964	0.4394	0.2533	
1023-4	1023	2009_ca_1023_fruit_c.jpg	4	1.2614	0.4443	0.2545	
1023-5	1023	2009_ca_1023_fruit_c.jpg	5	2.1412	0.4342	0.2564	
1024-1	1024	2009_ca_1024_fruit_c.jpg	1	2.9719	0.4454	0.2534	
1024-2	1024	2009_ca_1024_fruit_c.jpg	2	1.028	0.446	0.2535	
1024-3	1024	2009_ca_1024_fruit_c.jpg	3	0.7756	0.4461	0.2545	
1024-4	1024	2009_ca_1024_fruit_c.jpg	4	1.3303	0.4419	0.2523	
1024-5	1024	2009_ca_1024_fruit_c.jpg	5	1.8716	0.4401	0.2482	
1025-1	1025	2009_ca_1025_fruit_c.jpg	1	1.9229	0.4478	0.2488	
1025-2	1025	2009_ca_1025_fruit_c.jpg	2	2.6556	0.4443	0.2528	
1025-3	1025	2009_ca_1025_fruit_c.jpg	3	2.2699	0.444	0.25	
1025-4	1025	2009_ca_1025_fruit_c.jpg	4	0.4297	0.4487	0.2535	
1026-1	1026	2009_ca_1026_fruit_c.jpg	1	0.6327	0.4367	0.2543	
1026-2	1026	2009_ca_1026_fruit_c.jpg	2	1.8972	0.4408	0.2539	
1026-3	1026	2009_ca_1026_fruit_c.jpg	3	1.5338	0.4454	0.2509	
1026-4	1026	2009_ca_1026_fruit_c.jpg	4	2.7121	0.4434	0.2518	
1026-5	1026	2009_ca_1026_fruit_c.jpg	5	1.8717	0.4391	0.2534	
1028-1	1028	2009_ca_1028_fruit_c.jpg	1	0.8176	0.4414	0.2531	
1028-2	1028	2009_ca_1028_fruit_c.jpg	2	1.5479	0.4347	0.2528	
1028-3	1028	2009_ca_1028_fruit_c.jpg	3	0.5754	0.436	0.2518	
1028-4	1028	2009_ca_1028_fruit_c.jpg	4	0.5545	0.4373	0.2519	
1028-5	1028	2009_ca_1028_fruit_c.jpg	5	1.0005	0.4367	0.2512	
1029-1	1029	2009_ca_1029_fruit_c.jpg	1	1.3022	0.4448	0.2492	
1029-2	1029	2009_ca_1029_fruit_c.jpg	2	1.3606	0.4446	0.2545	
1029-3	1029	2009_ca_1029_fruit_c.jpg	3	1.5574	0.4438	0.25	
1029-4	1029	2009_ca_1029_fruit_c.jpg	4	1.0008	0.4443	0.2516	
1029-5	1029	2009_ca_1029_fruit_c.jpg	5	1.0655	0.4437	0.2493	
1030-1	1030	2009_ca_1030_fruit_c.jpg	1	3.2189	0.4443	0.2524	
1030-2	1030	2009_ca_1030_fruit_c.jpg	2	2.1903	0.4371	0.2492	
1030-3	1030	2009_ca_1030_fruit_c.jpg	3	2.4591	0.4463	0.2529	
1030-4	1030	2009_ca_1030_fruit_c.jpg	4	2.0006	0.4429	0.2515	
1030-5	1030	2009_ca_1030_fruit_c.jpg	5	1.8374	0.4389	0.2508	
1031-1	1031	2009_ca_1031_fruit_c.jpg	1	0.6903	0.4485	0.2545	
1031-2	1031	2009_ca_1031_fruit_c.jpg	2	0.9857	0.4456	0.2519	
1031-3	1031	2009_ca_1031_fruit_c.jpg	3	1.854	0.4465	0.2559	
1031-4	1031	2009_ca_1031_fruit_c.jpg	4	1.6887	0.4469	0.2532	
1031-5	1031	2009_ca_1031_fruit_c.jpg	5	1.3091	0.4473	0.2531	
