	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000134	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
1003-1	1003	2009_ca_1003_fruit_t.jpg	1	22.2923	33.449	6.3754	6.477	5.969	6.5024	1.0039	0.9363	0.745	0.5777	1.2897	0.9163	0.9753	0.4991	1.198	0.0523	247.0677	195.5902	0.1133	159.5806	141.7364	0.0002	0	0	0.2101	5.2118	0	6.8622	0.4219	0.7294	0.8857	0.8815	0.93	0.4365	
1003-2	1003	2009_ca_1003_fruit_t.jpg	2	19.1682	23.8193	6.2738	6.3246	4.1656	4.699	0.743	0.664	0.7895	0.6478	1.2188	0.8588	0.8748	0.5673	0	0.1371	235.2191	214.2806	0.1912	170.4816	169.2292	0	0	0	0.1735	3.2228	0	5.0726	0.4378	0.7065	0.8904	0.8844	0.6633	0.458	
1003-3	1003	2009_ca_1003_fruit_t.jpg	3	19.2883	25.4535	6.0706	6.0706	4.9276	5.207	0.8577	0.8117	0.6987	0.6402	1.0915	0.9645	0.9632	0.539	1.0474	0.046	223.195	180.8663	0.0626	172.5312	165.5697	0	0	0	0.1101	2	0	1.9958	0.4878	0.7549	0.8953	0.8851	0.8105	0.4175	
1003-4	1003	2009_ca_1003_fruit_t.jpg	4	22.2081	33.998	6.7818	6.8072	6.1722	6.35	0.9328	0.9101	0.6704	0.5768	1.1623	0.9803	0.9882	0.4958	0.5206	0.0196	204.0445	171.2206	0.0384	156.4314	143.8489	0.0006	0	0	0.1175	2	0	2.3408	0.492	0.7711	0.8889	0.8807	0.9057	0.3933	
1003-5	1003	2009_ca_1003_fruit_t.jpg	5	20.3043	28.7606	5.9436	5.969	5.7658	5.9436	0.9957	0.9701	0.6752	0.6709	1.0064	0.9717	0.9936	0.5406	0	0.0266	209.4833	182.1725	0.0539	356.219	154.8508	0	0	0.097	0	1.8541	1.7094	0	0.4786	0.7725	0.8911	0.8824	0.9677	0.4101	
1004-1	1004	2009_ca_1004_fruit_t.jpg	1	24.6599	41.3677	7.366	7.4168	6.7818	7.0866	0.9555	0.9207	0.6759	0.6414	1.0538	0.952	0.9878	0.5234	0.5818	0.0223	236.6507	198.1324	0.1132	170.1536	157.046	0	0	0	0.1405	3.518	0	3.6976	0.4301	0.7626	0.887	0.8833	0.9138	0.3976	
1004-2	1004	2009_ca_1004_fruit_t.jpg	2	23.6552	38.0264	7.0612	7.1374	6.2484	6.731	0.9431	0.8849	0.723	0.6187	1.1686	0.923	0.9772	0.5291	1.3135	0.0587	255.9876	200.5667	0.1265	165.9684	152.3448	0	0	0	0.158	4.5492	0	6.4214	0.434	0.7424	0.8909	0.8869	0.8829	0.4202	
1004-3	1004	2009_ca_1004_fruit_t.jpg	3	23.7121	37.9973	7.0358	7.112	6.223	6.7818	0.9536	0.8845	0.7148	0.6101	1.1716	0.917	0.9822	0.5086	1.3847	0.0623	249.0197	202.5803	0.133	161.3297	148.5823	0.0002	0	0	0.1525	4.4398	0	7.2832	0.4494	0.7293	0.8899	0.8818	0.8818	0.4308	
1004-4	1004	2009_ca_1004_fruit_t.jpg	4	23.3914	37.6419	6.6802	6.7818	6.6294	6.985	1.03	0.9924	0.7148	0.635	1.1257	0.957	0.9842	0.5382	0.9885	0.0423	233.033	190.8702	0.0913	174.1646	152.304	0	0	0	0.1701	1.4489	0	4.9436	0.4145	0.7591	0.8889	0.8889	1	0.4176	
1004-5	1004	2009_ca_1004_fruit_t.jpg	5	25.8345	43.3889	8.001	8.0518	5.8928	6.6294	0.8233	0.7365	0.6667	0.7524	0.8861	0.8764	0.9054	0.572	0	0	145.3015	127.6573	0	357.195	204.3293	0.0862	0	0.107	0	4.8769	4.8291	0	0.4751	0.7077	0.8889	0.8846	0.736	0.4628	
