MARKER	Framework	Map	LINKAGE_GROUP	POSITION	PROTOCOL	CONFIDENCE	MARKER_ID	abstract
CT233	Yes	Integrated	1	0	RFLP			Linkage maps were developed for the Yellow Stuffer × LA1589 and Sun1642 × LA1589 populations separately then the two maps were combined by chromosome into an integrated map using Joinmap 3.0 (Van Ooijen and Voorrips 2001).
SL20105_1193i	No	Integrated	1	2.3	Indel			
LEOH36	No	Integrated	1	14.7	SNP			
TG67	Yes	Integrated	1	17.1	RFLP			
CT62	Yes	Integrated	1	31.7	RFLP			
SSR266	Yes	Integrated	1	32.8	SSR			
SSR192	Yes	Integrated	1	32.9	SSR			
TG125	Yes	Integrated	1	33.9	RFLP			
SL10106_923	No	Integrated	1	34.1	SNP			
SL20127_1427	No	Integrated	1	39.8	SNP			
SSR105	Yes	Integrated	1	40	SSR			
SSR95	Yes	Integrated	1	43.1	SSR			
SSR316	Yes	Integrated	1	53.5	SSR			
CT149	Yes	Integrated	1	53.7	RFLP			
LEOH17	No	Integrated	1	59.2	SNP			
SL20134_408i	No	Integrated	1	59.8	Indel			
SL10725_1063i	No	Integrated	1	59.9	Indel			
SL20268_1315i	No	Integrated	1	61.3	Indel			
SSR134	Yes	Integrated	1	64.3	SSR			
SL10975_571i	No	Integrated	1	70	Indel			
TG273	Yes	Integrated	1	72.9	RFLP			
SL10943_357	No	Integrated	1	73.3	SNP			
SL10030_628i	No	Integrated	1	77	Indel			
SL20116_1284	No	Integrated	1	78.3	SNP			
TG59	Yes	Integrated	1	78.7	RFLP			
LEOH106	No	Integrated	1	78.7	SNP			
SL10629_1110	No	Integrated	1	83.9	SNP			
SL10811_116	No	Integrated	1	83.9	SNP			
SL10945_281	No	Integrated	1	83.9	SNP			
LEVCOH12	No	Integrated	1	84	SNP			
LEVCOH11	No	Integrated	1	85	SNP			
CT191	Yes	Integrated	1	87.1	RFLP			
SL10018_198	No	Integrated	1	92.6	SNP			
SSR9	Yes	Integrated	1	93.2	SSR			
SSR308	Yes	Integrated	1	101.9	SSR			
TG465	Yes	Integrated	1	103.2	RFLP			
LEOH7	No	Integrated	1	106.7	SNP			
