	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	photovolt reflectance		USDA		% Sugar
	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix	mm/yyyy	%FW	%FW	mm/yyyy	%FW	%FW	bud	stem	color	mottling	End
accession	line	plot	replicate	date	flower_color	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	SP:0000198|unit:kg	SP:0000218|unit:	tuber_picture	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	date1	SP:0000215|unit:milligram	SP:0000214|unit:milligram	date2	SP:0000215|unit:%FW	SP:0000214|unit:%FW					
A05141-1|1	A05141-1	64-17	1	2009/09/23	LRP^	6	3	7	9.7	1.087	A05141-1 Tuber.JPG	5	4	1	4	12.3	6.8	6	7	9	5	2009/10/07	0.006	0.169	2010/02/09	0.045	0.123	44.6	45.1	1	2	0
A05141-10|17	A05141-10	62-16	1	2009/09/23	W	7	2	5	6.3	1.085	A05141-10 Tuber.JPG	6	2	1	5	12	6	5.5	5	3	7	2009/10/07	0.003	0.081	2010/02/09	0.036	0.1	50.1	52	1	1.4	0
A05141-100|161	A05141-100	63-19	1	2009/09/23	MRP	5	2	7	15	1.084	A05141-100 Tuber.JPG	4	6	1	5	14.5	6.2	6	5	7	5	2009/10/07	0.063	0.082	2010/02/09	0.085	0.075	40.4	40.9	2	1.6	20
A05141-101|163	A05141-101	63-18	1	2009/09/23	LRP	7	5	7	11.5	1.088	A05141-101 Tuber.JPG	5	4	1	5	12	5.4	5.1	5	7	5	2009/10/07	0.005	0.103	2010/02/09	0.013	0.079	52.4	54.9	1	1	0
A05141-102|165	A05141-102	63-16	1	2009/09/23	W	4	2	5	6.4	1.091	A05141-102 Tuber.JPG	5	4	1	5	11.4	5.5	4.9	5	5	5	2009/10/07	0.016	0.127	2010/02/09	0.015	0.092	50	54	1	1	0
A05141-105|167	A05141-105	64-20	1	2009/09/23	MRP^	5	6	5	11.3	1.075	A05141-105 Tuber.JPG	4	5	1	5	12.9	6.5	5.5	7	7	7	2009/10/07	0.037	0.096	2010/02/09	0.124	0.097	29.3	31.8	3	2.4	20
A05141-106|169	A05141-106	62-02	1	2009/09/23	LRP^	8	5	3	7	1.094	A05141-106 Tuber.JPG	4	5	1	5	15.2	6.5	6.1	5	9	7	2009/10/07	0.017	0.153	2010/02/09	0.028	0.088	45.4	51.4	1	1.2	40
A05141-107|171	A05141-107	63-20	1	2009/09/23	W	8	7	3	9.8	1.086	A05141-107 Tuber.JPG	5	4	1	5	11.9	6.2	5.5	5	7	7	2009/10/07	0.485	0.917	2010/02/09	0.047	0.066	40.2	47.8	1	1.6	20
A05141-109|173	A05141-109	64-02	1	2009/09/23	MRP^	8	8	5	7.2	1.069	A05141-109 Tuber.JPG	5	4	1	5	12.6	5.8	5.4	5	7	5	2009/10/07	0.025	0.118	2010/02/09	0.052	0.069	43.2	52.1	1	1	0
A05141-11|19	A05141-11	65-22	1	2009/09/23	MRP^	8	6	5	9.4	1.083	A05141-11 Tuber.JPG	4	6	1	5	14.5	6.5	5.8	5	7	5	2009/10/07	0.052	0.096	2010/02/09	0.06	0.065	38.3	42.9	2	1.8	20
A05141-110|175	A05141-110	62-06	1	2009/09/23	LRP^	5	3	5	7.3	1.086	A05141-110 Tuber.JPG	6	3	1	4	13.8	7.4	6.2	5	7	5	2009/10/07	0.07	0.088	2010/02/09	0.177	0.075	29.8	38.3	2	1.2	40
A05141-111|177	A05141-111	65-01	1	2009/09/23	MRP^	7	4	3	7.3	1.091	A05141-111 Tuber.JPG	4	5	1	5	13.2	6	5.1	1	3	1	2009/10/07	0.041	0.21	2010/02/09	0.093	0.137	36.8	39.4	2	2	40
A05141-112|179	A05141-112	62-09	1	2009/09/23	W	8	5	3	6.7	1.091	A05141-112 Tuber.JPG	4	4	1	5	14.3	6.1	5.4	5	7	5	2009/10/07	0.039	0.127	2010/02/09	0.086	0.091	42.6	41	2	1.6	60
A05141-114|181	A05141-114	64-03	1	2009/09/23	NF	3	1	3	0.8	1.106	A05141-114 Tuber.JPG	5	4	1	2	4.4	3.1	2.8	5	1	3	2009/10/07	0.059	0.122	2010/02/09	0.073	0.102	49.3	47.1	1	1.6	0
A05141-115|183	A05141-115	63-05	1	2009/09/23	LRP^	5	4	5	6.1	1.095	A05141-115 Tuber.JPG	5	4	1	5	15.3	4.7	4.3	5	5	3	2009/10/07	0.022	0.129	2010/02/09	0.025	0.078	50.7	54.3	1	1	40
A05141-116|185	A05141-116	64-13	1	2009/09/23	LRP^	3	1	5	5.8	1.079	A05141-116 Tuber.JPG	4	5	1	5	11.5	4.8	4.4	5	5	5	2009/10/07	0.037	0.173	2010/02/09	0.128	0.095	37.2	30.2	3	2.2	80
A05141-118|187	A05141-118	63-07	1	2009/09/23	NF	3	1	3	2	1.09	A05141-118 Tuber.JPG	6	3	1	3	4.5	3.7	3.3	5	1	1	2009/10/07	0.062	0.195	2010/02/09	0.125	0.059	34	28.4	3	2.2	0
