	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit	Parameter 1 (% surface w/ Hue 70-100)	Parameter 2 (% surface w/ Hue 0-50)	Avg.Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
3801-1	3801	2009_oh_3801_fruit-c.jpg	1	1.65566	53.5094	139.659	72.6938	49.2502	88.8844	38.6975	23.5338	28.5043	50.382	37.2808	color data not normalized to color checker
3801-2	3801	2009_oh_3801_fruit-c.jpg	2	1.966	53.1955	143.649	73.3662	48.2379	90.2913	39.4277	24.685	30.0522	50.3993	39.2308	color data not normalized to color checker
3801-3	3801	2009_oh_3801_fruit-c.jpg	3	1.17391	69.2732	137.797	68.7013	49.2934	87.9678	37.5305	24.9967	27.0301	48.3793	37.2051	color data not normalized to color checker
3801-4	3801	2009_oh_3801_fruit-c.jpg	4	0.630412	55.8885	146.122	72.9139	47.3768	91.0465	39.708	25.9095	30.9975	49.9882	40.6432	color data not normalized to color checker
3801-5	3801	2009_oh_3801_fruit-c.jpg	5	4.1212	69.2462	154.525	81.0516	59.5619	100.71	42.9777	25.6521	28.5884	48.826	38.9705	color data not normalized to color checker
3801-6	3801	2009_oh_3801_fruit-c.jpg	6	1.36871	68.7509	138.266	67.4936	46.5575	86.9395	37.3152	25.6505	28.3405	48.1929	38.5495	color data not normalized to color checker
3801-7	3801	2009_oh_3801_fruit-c.jpg	7	1.23333	45.445	135.627	70.0454	45.7477	85.336	37.417	23.1335	28.7672	51.0901	37.1776	color data not normalized to color checker
3801-8	3801	2009_oh_3801_fruit-c.jpg	8	8.21848	48.2014	138.783	75.9072	50.1248	88.8592	39.3002	21.4632	28.7371	53.5716	36.5186	color data not normalized to color checker
3801-9	3801	2009_oh_3801_fruit-c.jpg	9	2.01756	52.7135	132.307	68.8302	45.6341	83.6683	36.6364	22.4757	27.8023	51.4302	36.1799	color data not normalized to color checker
3836-1	3836	2009_oh_3836_fruit-c.jpg	1	0.254372	40.1622	147.793	79.1491	54.2217	95.0563	41.4325	23.5942	29.351	51.1828	37.8845	color data not normalized to color checker
3836-2	3836	2009_oh_3836_fruit-c.jpg	2	1.49867	53.4681	135.232	71.6676	51.3699	87.793	37.8265	22.4513	26.0979	49.3402	34.7241	color data not normalized to color checker
3836-3	3836	2009_oh_3836_fruit-c.jpg	3	1.77276	57.7094	152.857	81.8279	59.6269	99.8582	42.9053	24.6129	28.3716	51.1217	38.0285	color data not normalized to color checker
3836-4	3836	2009_oh_3836_fruit-c.jpg	4	0.316009	58.9821	148.217	73.4787	49.9846	93.2543	40.2085	26.569	30.2232	48.8287	40.4953	color data not normalized to color checker
3836-5	3836	2009_oh_3836_fruit-c.jpg	5	0.450074	32.6791	138.624	78.8755	55.5921	91.3829	40.0561	20.1001	26.5808	52.9815	33.6102	color data not normalized to color checker
3836-6	3836	2009_oh_3836_fruit-c.jpg	6	1.00358	42.2211	141.477	74.6338	50.2728	90.2204	39.4377	23.2533	28.9028	51.312	37.3639	color data not normalized to color checker
3836-7	3836	2009_oh_3836_fruit-c.jpg	7	0.478776	53.0207	136.338	68.9962	46.2379	85.912	37.3191	24.0146	28.426	49.7288	37.477	color data not normalized to color checker
3836-8	3836	2009_oh_3836_fruit-c.jpg	8	0.526973	64.0595	142.476	69.3209	47.8789	89.5386	38.3962	26.4334	29.0221	48.2354	39.5263	color data not normalized to color checker
3836-9	3836	2009_oh_3836_fruit-c.jpg	9	1.25257	67.5017	142.78	73.3348	52.91	92.0585	39.3884	24.6689	27.4021	48.195	37.176	color data not normalized to color checker
3856-1	3856	2009_oh_3856_fruit-c.jpg	1	1.16755	38.4019	138.32	72.8816	47.3401	87.3452	38.4876	22.7651	29.2953	52.5262	37.3817	color data not normalized to color checker
3856-2	3856	2009_oh_3856_fruit-c.jpg	2	0.44178	57.374	140.948	70.9225	47.463	88.6412	38.4714	24.9335	29.2948	49.7968	38.6905	color data not normalized to color checker
3856-3	3856	2009_oh_3856_fruit-c.jpg	3	2.97213	55.1897	119.889	65.4056	47.2436	78.5959	33.9708	19.4009	23.2396	50.89	30.6408	color data not normalized to color checker
3856-4	3856	2009_oh_3856_fruit-c.jpg	4	1.44417	52.28	139.842	69.0411	43.7982	86.3895	37.8361	25.2594	30.5204	50.4869	39.9573	color data not normalized to color checker
3856-5	3856	2009_oh_3856_fruit-c.jpg	5	1.40572	61.9062	130.092	64.8271	44.0056	81.8664	35.3883	23.6702	27.148	49.574	36.3756	color data not normalized to color checker
3856-6	3856	2009_oh_3856_fruit-c.jpg	6	4.08979	49.3336	118.221	63.9408	44.3872	76.4448	33.3426	19.321	24.0834	52.5763	31.3612	color data not normalized to color checker
