Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
1001	SCT_0479	2009	Davis	California	1	Neptune
1002	SCT_0153	2009	Davis	California	1	091004-4
1003	SCT_0278	2009	Davis	California	1	UC-T338
1004	SCT_0195	2009	Davis	California	1	Fla. 8124C
1005	SCT_0227	2009	Davis	California	1	NC123S
1006	SCT_0154	2009	Davis	California	1	091004-7
1007	SCT_0245	2009	Davis	California	1	NC99471-3
1008	SCT_0162	2009	Davis	California	1	091144-1
1009	SCT_0273	2009	Davis	California	1	T-5
1010	SCT_0250	2009	Davis	California	1	NCEBR-5
1011	SCT_0238	2009	Davis	California	1	NC47NC2
1012	SCT_0236	2009	Davis	California	1	NC2Y
1013	SCT_0161	2009	Davis	California	1	091135-1
1014	SCT_0190	2009	Davis	California	1	Fla. 8044
1015	SCT_0281	2009	Davis	California	1	Willamette VF
1016	SCT_0187	2009	Davis	California	1	Fla. 7907B
1017	SCT_0264	2009	Davis	California	1	PI 281553
1018	SCT_0212	2009	Davis	California	1	Fla. 8653
1019	SCT_0164	2009	Davis	California	1	091153-1
1020	SCT_0148	2009	Davis	California	1	091003-35
1021	SCT_0158	2009	Davis	California	1	091119-2
1022	SCT_0146	2009	Davis	California	1	091003-29
1023	SCT_0191	2009	Davis	California	1	Fla. 8059
1024	SCT_0237	2009	Davis	California	1	NC33EB-1
1025	SCT_0247	2009	Davis	California	1	NCEBR-2
1026	SCT_0254	2009	Davis	California	1	NCHS-1
1027	SCT_0243	2009	Davis	California	1	NC84173
1028	SCT_0283	2009	Davis	California	1	Ha7997
1029	SCT_0267	2009	Davis	California	1	PI 65023
1030	SCT_0197	2009	Davis	California	1	Fla. 8249
1031	SCT_0218	2009	Davis	California	1	LA1996
1032	SCT_0182	2009	Davis	California	1	Fla. 7771
1033	SCT_0480	2009	Davis	California	1	NC0.23-93
1034	SCT_0184	2009	Davis	California	1	Fla. 7776
1035	SCT_0144	2009	Davis	California	1	071820-2
1036	SCT_0152	2009	Davis	California	1	091004-32
1037	SCT_0169	2009	Davis	California	1	88003-81
1038	SCT_0186	2009	Davis	California	1	Fla. 7804
1039	SCT_0244	2009	Davis	California	1	NC860-1(2008)
1040	SCT_0251	2009	Davis	California	1	NCEBR-6
1041	SCT_0203	2009	Davis	California	1	Fla. 8539
1042	SCT_0174	2009	Davis	California	1	Fla. 678
1043	SCT_0240	2009	Davis	California	1	NC714-3B(2007)
1044	SCT_0219	2009	Davis	California	1	LA2378
1045	SCT_0149	2009	Davis	California	1	091003-36
1046	SCT_0166	2009	Davis	California	1	091183-1
1047	SCT_0155	2009	Davis	California	1	091004-8
1048	SCT_0151	2009	Davis	California	1	091004-16
1049	SCT_0284	2009	Davis	California	1	Ha7998
1050	SCT_0156	2009	Davis	California	1	091013/091031
1051	SCT_0255	2009	Davis	California	1	Ohio11
1052	SCT_0257	2009	Davis	California	1	OR11
1053	SCT_0230	2009	Davis	California	1	NC140
1054	SCT_0279	2009	Davis	California	1	UC-TR44
1055	SCT_0199	2009	Davis	California	1	Fla. 8344
1056	SCT_0276	2009	Davis	California	1	UC-MR20
1057	SCT_0213	2009	Davis	California	1	Fla. 8735
1058	SCT_0260	2009	Davis	California	1	P20-3-1
1059	SCT_0248	2009	Davis	California	1	NCEBR-3
1060	SCT_0481	2009	Davis	California	1	LA3668
1061	SCT_0253	2009	Davis	California	1	NCEBR-8
1062	SCT_0160	2009	Davis	California	1	091120-7
1063	SCT_0277	2009	Davis	California	1	UC-N28
1064	SCT_0185	2009	Davis	California	1	Fla. 7781
1065	SCT_0265	2009	Davis	California	1	PI 340906
1066	SCT_0249	2009	Davis	California	1	NCEBR-4
1067	SCT_0210	2009	Davis	California	1	Fla. 8629
1068	SCT_0175	2009	Davis	California	1	Fla. 701
1069	SCT_0275	2009	Davis	California	1	Tropic
1070	SCT_0282	2009	Davis	California	1	Ha7981
1071	SCT_0159	2009	Davis	California	1	091120-2
1072	SCT_0344	2009	Davis	California	1	PI 128586
1073	SCT_0482	2009	Davis	California	1	NC265-1(93)-3-3
1074	SCT_0177	2009	Davis	California	1	Fla. 726
1075	SCT_0225	2009	Davis	California	1	Medford
1076	SCT_0150	2009	Davis	California	1	091004-15
1077	SCT_0205	2009	Davis	California	1	Fla. 8561B-6
1078	SCT_0193	2009	Davis	California	1	Fla. 8109
1079	SCT_0198	2009	Davis	California	1	Fla. 8293
1080	SCT_0221	2009	Davis	California	1	LA3736
1081	SCT_0226	2009	Davis	California	1	NC 7 P rep-8 (2006) - 96
1082	SCT_0165	2009	Davis	California	1	091166-3
1083	SCT_0208	2009	Davis	California	1	Fla. 8624
1084	SCT_0274	2009	Davis	California	1	T-9
1085	SCT_0235	2009	Davis	California	1	NC2C
1086	SCT_0270	2009	Davis	California	1	Severianin
1087	SCT_0189	2009	Davis	California	1	Fla. 8000
1088	SCT_0181	2009	Davis	California	1	Fla. 7770
1089	SCT_0272	2009	Davis	California	1	Summit
1090	SCT_0229	2009	Davis	California	1	NC 13G
1091	SCT_0209	2009	Davis	California	1	Fla. 8626
1092	SCT_0269	2009	Davis	California	1	RioGrande
1093	SCT_0163	2009	Davis	California	1	091144-2
1094	SCT_0157	2009	Davis	California	1	091109-3
