Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
101	SCT_0036	2009	Davis	California	1	OH05-8025
102	SCT_0073	2009	Davis	California	1	OH05-8181
103	SCT_0023	2009	Davis	California	1	F03-7463
104	SCT_0008	2009	Davis	California	1	CULBPT04-4
105	SCT_0001	2009	Davis	California	1	2K1-1439
106	SCT_0116	2009	Davis	California	1	OH8245
107	SCT_0044	2009	Davis	California	1	OH05-8048
108	SCT_0030	2009	Davis	California	1	H1706
109	SCT_0005	2009	Davis	California	1	CULBPT04-1
110	SCT_0015	2009	Davis	California	1	CULBPT-05-21
111	SCT_0014	2009	Davis	California	1	CULBPT-05-20
112	SCT_0042	2009	Davis	California	1	OH05-8044
113	SCT_0093	2009	Davis	California	1	OH08-5211
114	SCT_0054	2009	Davis	California	1	OH05-8078
115	SCT_0132	2009	Davis	California	1	Pearson
116	SCT_0048	2009	Davis	California	1	OH05-8064
117	SCT_0056	2009	Davis	California	1	OH05-8087
118	SCT_0080	2009	Davis	California	1	OH05-8193
119	SCT_0011	2009	Davis	California	1	CULBPT-05-11
120	SCT_0012	2009	Davis	California	1	CULBPT-05-15
121	SCT_0115	2009	Davis	California	1	OH8243
122	SCT_0089	2009	Davis	California	1	OH08-5205
123	SCT_0108	2009	Davis	California	1	OH3614
124	SCT_0119	2009	Davis	California	1	OH8556
125	SCT_0090	2009	Davis	California	1	OH08-5206
126	SCT_0128	2009	Davis	California	1	OH981136
127	SCT_0072	2009	Davis	California	1	OH05-8179
128	SCT_0037	2009	Davis	California	1	OH05-8027
129	SCT_0007	2009	Davis	California	1	CULBPT04-3
130	SCT_0050	2009	Davis	California	1	OH05-8069
131	SCT_0021	2009	Davis	California	1	F02-7530
132	SCT_0123	2009	Davis	California	1	OH88119
133	SCT_0060	2009	Davis	California	1	OH05-8109
134	SCT_0002	2009	Davis	California	1	2K1-2019
135	SCT_0033	2009	Davis	California	1	OH03-6439
136	SCT_0098	2009	Davis	California	1	OH08-7439
137	SCT_0031	2009	Davis	California	1	Hunt100
138	SCT_0099	2009	Davis	California	1	OH08-7454
139	SCT_0127	2009	Davis	California	1	OH981067
140	SCT_0112	2009	Davis	California	1	OH7814
141	SCT_0096	2009	Davis	California	1	OH08-5216
142	SCT_0035	2009	Davis	California	1	OH05-8022
143	SCT_0010	2009	Davis	California	1	CULBPT-05-10
144	SCT_0032	2009	Davis	California	1	M82
145	SCT_0047	2009	Davis	California	1	OH05-8062
146	SCT_0137	2009	Davis	California	1	R997
147	SCT_0038	2009	Davis	California	1	OH05-8028
148	SCT_0125	2009	Davis	California	1	OH9242
149	SCT_0034	2009	Davis	California	1	OH05-8018
150	SCT_0074	2009	Davis	California	1	OH05-8184
151	SCT_0118	2009	Davis	California	1	OH8446
152	SCT_0041	2009	Davis	California	1	OH05-8040
