	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
8901-1	8901	2009_oh_8901_fruit-c.jpg	1	34.4998	20.9999	140.02	93.0675	61.3633	94.7665	43.8012	13.0164	28.0407	64.7396	32.2631	color data not normalized to color checker
8901-2	8901	2009_oh_8901_fruit-c.jpg	2	19.7345	33.9909	124.13	75.1643	50.0282	81.9353	36.9882	15.6313	25.331	57.8095	30.6186	color data not normalized to color checker
8901-3	8901	2009_oh_8901_fruit-c.jpg	3	40.8767	14.4351	127.945	87.5891	56.9403	86.9831	40.8206	10.5343	26.3299	67.6772	29.5224	color data not normalized to color checker
8901-4	8901	2009_oh_8901_fruit-c.jpg	4	27.6363	24.1445	124.064	79.396	53.6649	83.5818	38.1889	13.4268	24.7633	62.7965	29.3115	color data not normalized to color checker
8901-5	8901	2009_oh_8901_fruit-c.jpg	5	35.2184	24.9976	131.352	88.5172	60.0324	90.046	41.4565	11.8686	25.6195	64.4556	29.5396	color data not normalized to color checker
8901-6	8901	2009_oh_8901_fruit-c.jpg	6	20.6694	41.7303	101.121	58.95	37.5454	65.2424	29.5379	14.1531	22.4588	56.8607	27.6556	color data not normalized to color checker
8902-1	8902	2009_oh_8902_fruit-c.jpg	1	7.12337	66.2404	145.418	78.4395	57.366	95.3756	40.9839	23.23	26.9768	49.7358	36.5521	color data not normalized to color checker
8902-2	8902	2009_oh_8902_fruit-c.jpg	2	5.32597	69.6511	138.68	72.894	54.8379	91.0351	38.6817	23.3509	25.2925	47.6882	35.0546	color data not normalized to color checker
8902-3	8902	2009_oh_8902_fruit-c.jpg	3	19.8596	21.4825	150.07	95.0291	65.3381	101.356	45.6302	16.3872	28.3463	59.9836	33.5283	color data not normalized to color checker
8902-4	8902	2009_oh_8902_fruit-c.jpg	4	18.1384	24.5155	146.443	92.3054	64.9937	99.4782	44.5116	16.4208	27.0481	58.9907	32.3337	color data not normalized to color checker
8903-1	8903	2009_oh_8903_fruit-c.jpg	1	50.2614	2.81134	116.177	82.2984	52.5797	79.4133	37.7738	8.07554	24.7871	72.1049	26.7249	color data not normalized to color checker
8903-2	8903	2009_oh_8903_fruit-c.jpg	2	31.4994	12.6366	109.246	75.1583	52.203	75.97	34.9874	9.19444	21.2451	67.1274	24.122	color data not normalized to color checker
8903-3	8903	2009_oh_8903_fruit-c.jpg	3	55.0441	7.15074	112.342	81.2672	52.2474	77.4343	37.1027	6.96375	23.8861	73.9045	25.8798	color data not normalized to color checker
8903-4	8903	2009_oh_8903_fruit-c.jpg	4	45.9452	6.0899	100.845	69.3785	41.9261	67.1827	32.2803	7.9824	23.4215	71.0679	25.6274	color data not normalized to color checker
8903-5	8903	2009_oh_8903_fruit-c.jpg	5	63.8064	2.63626	106.275	78.8529	46.272	71.7885	35.605	4.99089	25.1517	77.1928	26.4287	color data not normalized to color checker
8903-6	8903	2009_oh_8903_fruit-c.jpg	6	27.6635	13.8286	101.215	66.192	44.373	68.5022	31.4934	10.3805	21.0748	64.1125	24.1166	color data not normalized to color checker
8903-7	8903	2009_oh_8903_fruit-c.jpg	7	54.567	1.77464	108.227	75.388	43.6269	71.4577	34.9026	7.82688	25.9085	73.0629	27.7446	color data not normalized to color checker
8903-8	8903	2009_oh_8903_fruit-c.jpg	8	77.4906	1.11318	121.219	91.4881	54.9477	82.9005	40.9241	5.02168	27.4376	78.9356	28.4705	color data not normalized to color checker
8903-9	8903	2009_oh_8903_fruit-c.jpg	9	70.4837	1.29703	110.127	82.3203	49.0061	74.8872	37.0722	4.9152	25.6363	79.2023	26.8693	color data not normalized to color checker
8904-1	8904	2009_oh_8904_fruit-c.jpg	1	39.7379	9.39292	152.497	106.271	70.2098	104.805	48.9222	11.3647	29.8468	69.2493	33.253	color data not normalized to color checker
