	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
101-6	101	2010_ca_101-001_fruit_C.jpg	6	1.2899	0.4435	0.2512	
101-7	101	2010_ca_101-001_fruit_C.jpg	7	1.7328	0.4405	0.2509	
101-8	101	2010_ca_101-001_fruit_C.jpg	8	1.2985	0.4419	0.2491	
101-9	101	2010_ca_101-001_fruit_C.jpg	9	2.278	0.4422	0.2525	
101-10	101	2010_ca_101-001_fruit_C.jpg	10	1.5629	0.4411	0.2496	
101-1	101	2010_ca_101_fruit_C.jpg	1	1.6639	0.4394	0.2496	
101-2	101	2010_ca_101_fruit_C.jpg	2	1.8182	0.4396	0.2484	
101-3	101	2010_ca_101_fruit_C.jpg	3	1.7522	0.4398	0.25	
101-4	101	2010_ca_101_fruit_C.jpg	4	1.6204	0.4423	0.2515	
101-5	101	2010_ca_101_fruit_C.jpg	5	1.8984	0.444	0.2514	
103-1	103	2010_ca_103_fruit_C.jpg	1	1.2018	0.4402	0.25	
103-2	103	2010_ca_103_fruit_C.jpg	2	1.473	0.4406	0.2508	
103-3	103	2010_ca_103_fruit_C.jpg	3	0.8235	0.441	0.2529	
103-4	103	2010_ca_103_fruit_C.jpg	4	1.6704	0.4415	0.25	
103-5	103	2010_ca_103_fruit_C.jpg	5	1.5071	0.4397	0.2496	
104-5	104	2010_ca_104-001_fruit_C.jpg	5	1.2748	0.441	0.2489	
104-6	104	2010_ca_104-001_fruit_C.jpg	6	1.1814	0.4362	0.2528	
104-7	104	2010_ca_104-001_fruit_C.jpg	7	1.6513	0.4417	0.25	
104-8	104	2010_ca_104-001_fruit_C.jpg	8	0.946	0.4317	0.2508	
104-9	104	2010_ca_104-001_fruit_C.jpg	9	2.0474	0.442	0.2491	
104-1	104	2010_ca_104_fruit_C.jpg	1	2.7093	0.4418	0.248	
104-2	104	2010_ca_104_fruit_C.jpg	2	1.3831	0.4421	0.2524	
104-3	104	2010_ca_104_fruit_C.jpg	3	2.3716	0.4433	0.2519	
104-4	104	2010_ca_104_fruit_C.jpg	4	2.4491	0.4402	0.2506	
105-1	105	2010_ca_105_fruit_C.jpg	1	1.2689	0.4435	0.2527	
105-2	105	2010_ca_105_fruit_C.jpg	2	0.8663	0.4431	0.2512	
105-3	105	2010_ca_105_fruit_C.jpg	3	0.8258	0.4427	0.25	
105-4	105	2010_ca_105_fruit_C.jpg	4	1.096	0.443	0.2523	
105-5	105	2010_ca_105_fruit_C.jpg	5	1.4707	0.4447	0.2515	
106-1	106	2010_ca_106_fruit_C.jpg	1	0.9284	0.4429	0.25	
106-2	106	2010_ca_106_fruit_C.jpg	2	1.6036	0.4445	0.2452	
106-3	106	2010_ca_106_fruit_C.jpg	3	1.0251	0.4428	0.2523	
106-4	106	2010_ca_106_fruit_C.jpg	4	1.615	0.4456	0.25	
107-1	107	2010_ca_107_fruit_C.jpg	1	0.9535	0.4431	0.25	
