	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
541-1	541	2010_ca_11541_fruit_t.jpg	1	12.5083	10.393	3.1623	3.302	4.0767	4.1402	1.2538	1.2892	0.6627	0.5984	1.1074	0.9357	0.9346	0.4616	0	0.0376	212.9568	138.3276	0.0446	147.5748	122.8595	0	0	0.18	0	7.1354	9.0849	0	0.6166	0.7877	0.8889	0.8951	1.2929	0.3822	
541-2	541	2010_ca_11541_fruit_t.jpg	2	14.7489	14.9469	3.9243	3.937	4.6228	4.6863	1.1903	1.178	0.712	0.6246	1.1399	0.9701	0.9522	0.5447	0.3526	0.0112	200.4842	159.0808	0.0224	155.0008	136.7101	0	0	0	0.1117	4.8668	0	5.1262	0.4932	0.788	0.8896	0.8869	1.1789	0.3954	
541-3	541	2010_ca_11541_fruit_t.jpg	3	12.9513	11.5445	3.429	3.5052	4.0513	4.0894	1.1667	1.1815	0.7037	0.6481	1.0857	0.9588	0.9482	0.5315	0	0.0085	197.3363	161.5083	0.0178	166.2496	139.0525	0	0	0.1114	0	4.0623	5.6764	0	0.5248	0.7913	0.8912	0.885	1.1759	0.398	
541-4	541	2010_ca_11541_fruit_t.jpg	4	14.539	14.5867	3.6957	3.7084	4.6355	4.7752	1.2877	1.2543	0.7388	0.6186	1.1944	0.9674	0.9291	0.5545	0.5846	0.0224	203.0058	157.8315	0.0066	156.629	130.7563	0	0	0	0.1465	2.3707	0	6.0344	0.4681	0.7733	0.8896	0.8841	1.25	0.4157	
541-5	541	2010_ca_11541_fruit_t.jpg	5	13.2246	11.4937	3.3401	3.3909	4.1656	4.2164	1.2434	1.2471	0.7262	0.597	1.2166	0.9375	0.9372	0.5175	0.5868	0.0227	189.9389	153.7328	0.0235	156.411	128.3765	0	0	0	0.1283	6.3686	0	6.9286	0.491	0.7915	0.8912	0.8881	1.2596	0.3994	
542-1	542	2010_ca_11542_fruit_t.jpg	1	15.8124	16.8148	4.0259	4.0513	5.1435	5.3467	1.3197	1.2776	0.6498	0.571	1.1381	0.956	0.9256	0.4972	0.1351	0	183.1817	163.1358	0.0072	151.4971	125.0926	0.0014	0	0	0.1405	9.45	0	7.7201	0.4679	0.7667	0.892	0.8846	1.2778	0.3887	
542-2	542	2010_ca_11542_fruit_t.jpg	2	12.8949	11.5064	3.4798	3.5306	3.937	4.064	1.1511	1.1314	0.6825	0.6423	1.0625	0.955	0.9533	0.5039	0.7883	0.0329	211.057	163.8464	0.0329	158.6164	145.1064	0	0	0	0.1178	5.3605	0	6.8412	0.4969	0.7774	0.8921	0.8889	1.1376	0.4048	
542-3	542	2010_ca_11542_fruit_t.jpg	3	14.2857	13.205	3.6703	3.8354	4.5593	4.5974	1.1987	1.2422	0.7024	0.5502	1.2767	0.8499	0.9286	0.3985	0.8512	0.035	201.1587	152.9739	0.0214	162.4558	130.675	0.0096	0	0	0.2061	13.2188	0	15.7741	0.4061	0.7922	0.8938	0.8827	1.2435	0.369	
