	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8645-1	8645	2010_oh_8645_fruit-t.jpg	1	20.957	30.0322	5.7404	5.7912	6.35	6.4516	1.114	1.1062	0.8982	0.7743	1.16	0.9726	0.9538	0.5199	.	0.0177	203.7118	105.9846	0.014	167.8008	91.385	0	0	0	0.1854	0.0216	0	0.0591	0.437	0.7905	0.8929	0.8889	1.1111	0.3926	 
8645-2	8645	2010_oh_8645_fruit-t.jpg	2	19.5623	26.7341	5.0038	5.0038	6.4516	6.5278	1.3046	1.2893	0.8883	0.8426	1.0542	0.9664	0.9209	0.552	.	0.008	191.2438	94.8962	0.0244	168.9727	88.6118	0	0	0	0.0677	0.0219	0	0.0354	0.537	0.7891	0.8938	0.886	1.2949	0.4027	 
8645-3	8645	2010_oh_8645_fruit-t.jpg	3	18.0049	22.6541	4.953	5.0038	5.4102	5.588	1.1168	1.0923	0.9077	0.7897	1.1494	0.9681	0.9505	0.5233	.	0.0205	174.4401	110.8412	0.035	172.4712	90.6132	0	0	0	0.1999	0.0231	0	0.0515	0.4091	0.7671	0.8889	0.8796	1.0909	0.4213	 
8645-4	8645	2010_oh_8645_fruit-t.jpg	4	18.4534	23.8864	5.2324	5.3086	5.3594	5.5372	1.0431	1.0243	0.9126	0.7913	1.1534	0.9686	0.9608	0.5448	.	0.0321	219.077	116.3368	0.0357	171.5027	96.6584	0	0	0	0.2036	0.0215	0	0.0584	0.4266	0.7742	0.8889	0.8889	1.0244	0.4155	 
8645-5	8645	2010_oh_8645_fruit-t.jpg	5	18.6294	23.7374	4.699	4.826	6.0198	6.0452	1.2526	1.2811	0.9297	0.7946	1.1701	0.9637	0.9126	0.5433	.	0.0021	166.1253	97.5258	0.0041	185.7174	73.6863	0	0	0	0.205	0.0103	0	0.0598	0.395	0.7932	0.891	0.8826	1.2877	0.4141	 
8645-6	8645	2010_oh_8645_fruit-t.jpg	6	18.1101	22.838	4.953	5.0546	5.6642	5.7658	1.1407	1.1436	0.8769	0.7744	1.1325	0.966	0.9492	0.5083	.	0.0092	172.039	114.6598	0.0113	177.2389	87.4902	0	0	0	0.1637	0.0443	0	0.0465	0.3965	0.7788	0.8889	0.88	1.1429	0.3986	 
8645-7	8645	2010_oh_8645_fruit-t.jpg	7	18.1055	22.0135	4.7498	4.8768	5.3594	5.6388	1.1563	1.1283	0.9412	0.7807	1.2055	0.9524	0.9292	0.5321	.	0.0319	205.9378	124.6027	0.0463	165.2657	82.7257	0	0	0	0.2019	0.0416	0	0.0803	0.4279	0.7602	0.8889	0.8889	1.1351	0.4277	 
8645-8	8645	2010_oh_8645_fruit-t.jpg	8	17.3794	20.9909	4.5212	4.7498	5.3848	5.4864	1.1551	1.191	0.9831	0.764	1.2868	0.956	0.9328	0.5227	.	0.0093	192.8699	114.3989	0.0086	158.5815	79.884	0	0	0	0.3036	0.0295	0	0.0908	0.3287	0.7814	0.8889	0.8842	1.1831	0.4241	 
