plot_name	accession_name	plot_number	block_number	is_a_control	rep_number	Brix|SP:0000165	PH|SP:0000170	titratable acids (g citric acid /100 ml)|SP:0000345	days to Maturity|SP:0000366						
2010_vintage_Fremont_OH_8901_1	Ailsa Craig	8901	1		1	6.4	3.69	0.5344	146						
2010_vintage_Fremont_OH_8902_1	Beauty	8902	1		1	6.9	3.82	0.55104	146						
2010_vintage_Fremont_OH_8903_1	Black Plum	8903	1		1	7.6	3.87	0.57536	153						
2010_vintage_Fremont_OH_8904_1	Favorite	8904	1		1	6.9	3.77	0.52864	153						
2010_vintage_Fremont_OH_8905_1	Globe	8905	1		1	8.2	4.36	0.59776	160						
2010_vintage_Fremont_OH_8906_1	Gold Ball	8906	1		1	6.6	4.32	0.59712	160						
2010_vintage_Fremont_OH_8907_1	Grushovka	8907	1		1	5.1	4.45	0.39296	168						
2010_vintage_Fremont_OH_8908_1	Marglobe	8908	1		1	5.9	4.41	0.37568	168						
2010_vintage_Fremont_OH_8909_1	Marveille des Marches	8909	1		1	6.4	4.2	0.6464	168						
2010_vintage_Fremont_OH_8910_1	Moneymaker	8910	1		1	5.7	4.35	0.37504	168						
2010_vintage_Fremont_OH_8911_1	PARAGON	8911	1		1	5.6	4.54	0.496	160						
2010_vintage_Fremont_OH_8912_1	Howard German	8912	1		1	7.3	4.62	0.38848	160						
2010_vintage_Fremont_OH_8913_1	Ponderosa	8913	1		1	8	3.53	0.7904	153						
2010_vintage_Fremont_OH_8914_1	Principe Borghese	8914	1		1	5.4	3.9	0.54016	153						
2010_vintage_Fremont_OH_8915_1	RomaVF	8915	1		1	5	3.87	0.48576	146						
2010_vintage_Fremont_OH_8916_1	San Marzano	8916	1		1	6	3.9	0.49152	146						
2010_vintage_Fremont_OH_8917_1	VFNT Cherry	8917	1		1	5.6	3.92	0.49024	146						
2010_vintage_Fremont_OH_8918_1	White Queen	8918	1		1	6.3	3.75	0.55744	153						
2010_vintage_Fremont_OH_8919_1	Yellow Pear	8919	1		1	7.4	3.77	0.53184	153						
2010_vintage_Fremont_OH_8920_1	Yellow Stuffer	8920	1		1	5.8	4.01	0.4256	153						
2010_vintage_Fremont_OH_8921_1	Aker's West Virginia	8921	1		1	8.2	4.39	0.67584	160						
2010_vintage_Fremont_OH_8922_1	Black From Tula	8922	1		1	6	4.45	0.52544	160						
2010_vintage_Fremont_OH_8923_1	Burbank	8923	1		1	5.9	4.42	0.37824	168						
2010_vintage_Fremont_OH_8924_1	Peron	8924	1		1	6.5	4.19	0.58048	168						
2010_vintage_Fremont_OH_8925_1	Cherokee Purple	8925	1		1	7.1	4.46	0.34304	168						
2010_vintage_Fremont_OH_8926_1	Oxheart	8926	1		1	5.8	4.49	0.39232	168						
2010_vintage_Fremont_OH_8927_1	Rutgers	8927	1		1	6.2	4.41	0.41024	160						
2010_vintage_Fremont_OH_8928_1	Amish Paste	8928	1		1	6.4	4.6	0.37376	160						```
2010_vintage_Fremont_OH_8929_1	Opalka	8929	1		1	6.5	4.06	0.44224	153						
2010_vintage_Fremont_OH_8930_1	Brandywine (Sudduth/Quisenberry)	8930	1		1	6.6	3.84	0.58112	153						
