Tomato Analyzer - Color Data																
Plot #	Plot #	SCT #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	sct#	image files	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
8901-1	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	1	36.28	9.12	130.9724	87.1274	54.168	87.111	39.9362	17.6406	26.8255	56.6709	32.106	
8901-2	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	2	30.43	24.43	121.2534	79.4339	51.6449	81.3509	36.6762	17.6357	24.0248	53.719	29.8028	
8901-3	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	3	31.64	6.03	126.1948	82.5054	49.6945	82.772	38.1019	17.7644	26.8781	56.5383	32.2181	
8901-4	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	4	33.25	5.22	127.0796	84.0582	51.6753	84.1161	38.6159	17.4245	26.4297	56.604	31.6566	
8901-5	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	5	28.92	12.27	126.5635	79.4983	46.6757	81.5228	37.3875	19.5344	27.6263	54.7361	33.835	
8901-6	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	6	24.48	21.97	114.254	71.1031	45.6796	75.2617	33.6889	18.8033	23.5513	51.3962	30.1368	
8901-7	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	7	34.99	23.72	117.8958	77.1016	46.2412	77.2359	35.5927	16.9811	25.5179	56.3579	30.6516	
8901-8	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	8	32.84	8.73	127.9522	87.999	55.5902	86.3708	39.7809	15.8962	25.8194	58.3807	30.3204	
8901-9	8901	SCT_0325	2010_oh_8901_fruit-c.jpg	9	42.45	3.67	132.823	94.591	56.7329	89.2028	42.1026	14.1987	27.9255	63.0489	31.3279	
8902-1	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	1	7.38	46.84	120.5988	68.2014	47.2202	78.9502	33.8552	23.747	23.1693	44.2945	33.1774	
8902-2	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	2	3.55	70.71	141.0512	77.9324	58.8509	94.0614	39.2343	28.0977	23.6674	40.1083	36.7373	
8902-3	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	3	23.42	27.19	115.763	72.5098	49.095	77.5509	34.2685	18.9944	22.4281	49.7386	29.3906	
8902-4	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	4	17.77	36.81	116.6267	71.3072	49.5835	78.2011	34.0655	20.2094	21.9678	47.3873	29.8496	
8902-5	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	5	4.23	65.64	135.379	71.8062	50.9567	87.6661	36.9291	28.5269	25.1218	41.3682	38.0117	
8902-6	8902	SCT_0287	2010_oh_8902_fruit-c.jpg	6	10.11	35.68	124.4172	72.9655	48.9016	81.5544	35.5192	22.7463	24.261	46.8456	33.2564	
8903-1	8903	SCT_0289	2010_oh_8903_fruit-c.jpg	1	43.4244	5.97423	104.522	71.4883	43.6848	69.7265	33.3351	8.56957	23.793	70.1169	26.0255	
8903-2	8903	SCT_0289	2010_oh_8903_fruit-c.jpg	2	47.6563	8.42217	98.2736	69.4431	44.9359	67.3761	31.989	7.13852	21.1613	70.9549	23.1925	
8903-3	8903	SCT_0289	2010_oh_8903_fruit-c.jpg	3	55.4726	4.80085	95.1456	69.374	43.9482	65.4435	31.5681	5.52786	21.1232	75.5981	22.6932	
