MARKER	Framework	Map	LINKAGE_GROUP	POSITION	PROTOCOL	CONFIDENCE	MARKER_ID	abstract
TG67	Yes	Sun1642 × LA1589	1	0	RFLP			The mapping population derived from Sun1642 (S.lycopersicum) and LA1589 (S. pimpinellifolium) consists of 100 F2 individuals (van der Knaap and Tanksley 2001).
LEOH36	No	Sun1642 × LA1589	1	2.1	SNP			
SL20105_1193i	No	Sun1642 × LA1589	1	14.7	Indel			
CT233	Yes	Sun1642 × LA1589	1	17	RFLP			
TG125	Yes	Sun1642 × LA1589	1	22.7	RFLP			
SSR192	Yes	Sun1642 × LA1589	1	23.4	SSR			
SSR266	Yes	Sun1642 × LA1589	1	23.8	SSR			
CT62	Yes	Sun1642 × LA1589	1	24.6	RFLP			
SSR105	Yes	Sun1642 × LA1589	1	32.1	SSR			
SSR95	Yes	Sun1642 × LA1589	1	36	SSR			
CT149	Yes	Sun1642 × LA1589	1	49.4	RFLP			
SSR316	Yes	Sun1642 × LA1589	1	49.5	SSR			
LEOH17	No	Sun1642 × LA1589	1	56.7	SNP			
SL10725_1063i	No	Sun1642 × LA1589	1	57	Indel			
SSR134	Yes	Sun1642 × LA1589	1	62.2	SSR			
SL10975_571i	No	Sun1642 × LA1589	1	68.7	Indel			
TG273	Yes	Sun1642 × LA1589	1	70.6	RFLP			
SL10030_628i	No	Sun1642 × LA1589	1	76.7	Indel			
SL20116_1284	No	Sun1642 × LA1589	1	78	SNP			
LEOH106	No	Sun1642 × LA1589	1	78.4	SNP			
TG59	Yes	Sun1642 × LA1589	1	78.9	RFLP			
SL10945_281	No	Sun1642 × LA1589	1	83.8	SNP			
SL10629_1110	No	Sun1642 × LA1589	1	83.8	SNP			
SL10811_116	No	Sun1642 × LA1589	1	83.8	SNP			
LEVCOH12	No	Sun1642 × LA1589	1	83.8	SNP			
LEVCOH11	No	Sun1642 × LA1589	1	84.9	SNP			
CT191	Yes	Sun1642 × LA1589	1	89.7	RFLP			
SSR9	Yes	Sun1642 × LA1589	1	93.2	SSR			
SSR308	Yes	Sun1642 × LA1589	1	101.1	SSR			
TG465	Yes	Sun1642 × LA1589	1	101.7	RFLP			
LEOH7	No	Sun1642 × LA1589	1	105.8	SNP			
SSR42	Yes	Sun1642 × LA1589	1	106.4	SSR			
TG260	Yes	Sun1642 × LA1589	1	106.9	RFLP			
LEOH222	No	Sun1642 × LA1589	1	108.3	Indel			
SSR37	Yes	Sun1642 × LA1589	1	116.4	SSR			
TG255	Yes	Sun1642 × LA1589	1	123	RFLP			
SSR582	Yes	Sun1642 × LA1589	1	132.8	SSR			
SSR65	Yes	Sun1642 × LA1589	1	132.8	SSR			
SSR288	Yes	Sun1642 × LA1589	1	132.8	SSR			
TG580	Yes	Sun1642 × LA1589	1	132.9	RFLP			
SL10126_1067i	No	Sun1642 × LA1589	1	135	Indel			
