Tomato Data Entry			Characterization Descriptors									Quality Measures			Comment			
Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 		Form 		
#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)								
Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment			
SCT_0325	8901	1			simple				2009/09/24			5.8	4.17	0.44032		form values	Growth Type	inflorescence
SCT_0287	8902	1			simple				2009/09/03			6.6	4.52	0.4448		Seedling	determinate	simple
SCT_0289	8903	1			simple				2009/09/24			7.3	4.23	0.544		0 - absent	indeterminate	intermediate
SCT_0295	8904	1			simple				2009/08/27			6.7	4.42	0.48704		.5 - H		compound
SCT_0296	8905	1			simple				2009/09/24			5.7	4.19	0.42112		1 - present		
SCT_0308	8906	1			simple				2009/09/24			5.3	4.26	0.57024				
SCT_0298	8907	1			simple				2009/09/24			4.6	4.34	0.43584				
SCT_0299	8908	1			simple				2009/09/24			5.8	4.53	0.3136				
SCT_0303	8909	1			simple				2009/08/27			4.9	4.24	0.5056				
SCT_0326	8910	1			simple				2009/08/27			4.9	3.99	0.64704				
SCT_0304	8911	1			simple				2009/09/03			5.7	4.35	0.42176				
SCT_0308	8912	1			simple				2009/09/03			5.5	4.39	0.46208				
SCT_0327	8913.2	1			simple				2009/08/27			5.8	4.24	0.52224	mixed plot 8913.2 = image B			
SCT_0327	8913.1	1			simple				2009/08/27			5	4.16	0.67008	mixed plot 8913.1 = image A			
SCT_0310	8914	1			simple				2009/08/27			5.2	4.25	0.5312				
