SCT#	Year	Location	Location2	Plot	Replicate	Donor number/Variety Name:		
SCT_0329	2009	Fremont	Ohio	8975	1	1091-Chonto 21 (mataverde (3-21-2))		
SCT_0329	2009	Fremont	Ohio	9047	2	1091-Chonto 21 (mataverde (3-21-2))		
SCT_0330	2009	Fremont	Ohio	8973	1	A-1770		
SCT_0330	2009	Fremont	Ohio	9053	2	A-1770		
SCT_0331	2009	Fremont	Ohio	8974	1	A-1771		
SCT_0331	2009	Fremont	Ohio	9031	2	A-1771		
SCT_0332	2009	Fremont	Ohio	8946	1	Abel		
SCT_0332	2009	Fremont	Ohio	9056	2	Abel		
SCT_0325	2009	Fremont	Ohio	8901	1	Ailsa Craig		
SCT_0325	2009	Fremont	Ohio	9020	2	Ailsa Craig		
SCT_0285	2009	Fremont	Ohio	8921	1	Aker's West Virginia		
SCT_0285	2009	Fremont	Ohio	8989	2	Aker's West Virginia		
SCT_0286	2009	Fremont	Ohio	8928	1	Amish Paste		
SCT_0286	2009	Fremont	Ohio	8986	2	Amish Paste		
SCT_0287	2009	Fremont	Ohio	8902	1	Beauty		
SCT_0287	2009	Fremont	Ohio	8993	2	Beauty		
SCT_0288	2009	Fremont	Ohio	8922	1	Black From Tula		
SCT_0288	2009	Fremont	Ohio	8983	2	Black From Tula		
SCT_0289	2009	Fremont	Ohio	8903	1	Black Plum		
SCT_0289	2009	Fremont	Ohio	9000	2	Black Plum		
SCT_0290	2009	Fremont	Ohio	8930	1	Brandywine (Sudduth/Quisenberry)		
SCT_0290	2009	Fremont	Ohio	9005	2	Brandywine (Sudduth/Quisenberry)		
SCT_0291	2009	Fremont	Ohio	8923	1	Burbank		
SCT_0291	2009	Fremont	Ohio	8997	2	Burbank		
SCT_0292	2009	Fremont	Ohio	8925	1	Cherokee Purple		
SCT_0292	2009	Fremont	Ohio	8991	2	Cherokee Purple		
SCT_0333	2009	Fremont	Ohio	8960	1	Chih-mu-tao-se		
SCT_0333	2009	Fremont	Ohio	9036	2	Chih-mu-tao-se		
SCT_0293	2009	Fremont	Ohio	8932	1	Costoluto Genovese		
SCT_0293	2009	Fremont	Ohio	9006	2	Costoluto Genovese		
SCT_0334	2009	Fremont	Ohio	8965	1	Cotaxtla I		
SCT_0334	2009	Fremont	Ohio	9028	2	Cotaxtla I		
SCT_0294	2009	Fremont	Ohio	8933	1	D' Olvia x Industria		
SCT_0294	2009	Fremont	Ohio	8990	2	D' Olvia x Industria		
SCT_0335	2009	Fremont	Ohio	8970	1	Devon Surprise		
SCT_0335	2009	Fremont	Ohio	9050	2	Devon Surprise		 
SCT_0295	2009	Fremont	Ohio	8904	1	Favorite		 
SCT_0295	2009	Fremont	Ohio	8996	2	Favorite		
SCT_0296	2009	Fremont	Ohio	8905	1	Globe		
SCT_0296	2009	Fremont	Ohio	9004	2	Globe		
SCT_0298	2009	Fremont	Ohio	8907	1	Grushovka		
SCT_0298	2009	Fremont	Ohio	8999	2	Grushovka		
SCT_0336	2009	Fremont	Ohio	8971	1	Heinz 1370		
SCT_0336	2009	Fremont	Ohio	9061	2	Heinz 1370		
SCT_0337	2009	Fremont	Ohio	8969	1	Hong Kong		
SCT_0337	2009	Fremont	Ohio	9062	2	Hong Kong		
SCT_0299	2009	Fremont	Ohio	8908	1	Howard German		
SCT_0299	2009	Fremont	Ohio	9008	2	Howard German		
SCT_0300	2009	Fremont	Ohio	8931	1	Juane Flammee		
SCT_0300	2009	Fremont	Ohio	8994	2	Juane Flammee		
SCT_0301	2009	Fremont	Ohio	9066	2	King Humbert		
