Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPE0018	University of Tsukuba	EMS mutagenesis lines		1	0	0	S	PO:0001002,PO:0007042	75	11.1				fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=582
TOMJPE0034	University of Tsukuba	EMS mutagenesis lines		2	0	0	L	PO:0001002,PO:0007042,PO:0001050,SP:0000108	83.3	20				leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=583
TOMJPE0039	University of Tsukuba	EMS mutagenesis lines		1	0	0	S	PO:0001002,PO:0007042,PO:0007112,PO:0001083,PO:0007047,PO:0001050	66.7	12.5				fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=584
TOMJPE0046	University of Tsukuba	EMS mutagenesis lines		1	0	0	L		60	16.7					http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=3
TOMJPE0049	University of Tsukuba	EMS mutagenesis lines		1	0	0	L	PO:0007112,SP:0000031	20	50				- : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=4
TOMJPE0062	University of Tsukuba	EMS mutagenesis lines		1	0	0	0	PO:0007057	20	50				germination : Seed-Seedling lethality	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=5
TOMJPE0065	University of Tsukuba	EMS mutagenesis lines		1	0	0	L	PO:0007112	20	50				- : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=6
TOMJPE0066	University of Tsukuba	EMS mutagenesis lines		1	0	0	M	PO:0007112	40	25				- : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=7
TOMJPE0079	University of Tsukuba	EMS mutagenesis lines		1	0	0	0	PO:0007112,PO:0001050,PO:0007047,PO:0001083	10	100				leaf production : Leaf morphology-Leaf texture, fruit : Sterility-Full sterility, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=8
TOMJPE0101	University of Tsukuba	EMS mutagenesis lines		1	0	0	M	PO:0007112,PO:0001050,PO:0007047,PO:0001083,PO:0001002,PO:0007042	58.3	14.3				fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=586
TOMJPE0110	University of Tsukuba	EMS mutagenesis lines		1	0	0	0	PO:0007112,PO:0007047,PO:0001050,PO:0001083	60	16.7				- : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=11
TOMJPE0112	University of Tsukuba	EMS mutagenesis lines		1	0	0	7	PO:0007112,PO:0001050	100	12.5				- : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=587
