Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG0114	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0		SP:0000043	100	20	39605	39643		leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=676
TOMJPG0334	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0			80	12.5	39797	39856		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=733
TOMJPG0360	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			90	0	39615	39615		leaf production : Leaf morphology-Other leaf morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=648
TOMJPG0400	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000022,SP:0000031	50	0	39612	39654		- : Plant habit-Internode length, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=672
TOMJPG0766	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			80	0	39615	39615		- : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=649
TOMJPG0932	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	lm	SP:0000022,SP:0000042,SP:0000054	30	0	39743	39798		leaf production : Leaf morphology-Leaf size, leaf production : Leaf color-Yellow-green leaf, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=715
TOMJPG0983	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0		SP:0000057	83.3	20	39743	39806		leaf production : Leaf color-Variegation	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=732
TOMJPG0992	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	m	SP:0000101	40	0	39743	39806		fruit : Fruit size-Small fruit	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=716
TOMJPG1021	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	LL	SP:0000054,SP:0000021	50	20	39797	39856		leaf production : Leaf color-Yellow-green leaf, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=734
TOMJPG1071	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	LL	SP:0000054	83.3	0	39743	39806		leaf production : Leaf color-Yellow-green leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=718
TOMJPG1075	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	s	SP:0000101	20	100	39745	39798		fruit : Fruit morphology-Other fruit morphology, fruit : Fruit color-Dark red fruit	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=736
TOMJPG1133	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	LL	SP:0000042,SP:0000022	40	0	39743	39806		leaf production : Leaf morphology-Leaf size, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=719
TOMJPG1140	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	M	SP:0000116,SP:0000101	30	66.7	39745	39804		inflorescence : Inflorescence structure-Lots of flowers, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=682
