MARKER	Framework	Map	LINKAGE_GROUP	POSITION	PROTOCOL	CONFIDENCE	MARKER_ID	abstract
TG67	Yes	Yellow Stuffer × LA1589	1	0	RFLP			200 F2 plants from a cross between Yellow Stuffer and LA1589 (van der Knaap and Tanksley 2003).
SL10106_923	No	Yellow Stuffer × LA1589	1	15.5	SNP			
TG125	Yes	Yellow Stuffer × LA1589	1	15.8	RFLP			
SL20127_1427	No	Yellow Stuffer × LA1589	1	21.2	SNP			
CT149	Yes	Yellow Stuffer × LA1589	1	34.2	RFLP			
SL20134_408i	No	Yellow Stuffer × LA1589	1	40.1	Indel			
SL20268_1315i	No	Yellow Stuffer × LA1589	1	41.7	Indel			
SL10943_357	No	Yellow Stuffer × LA1589	1	53.3	SNP			
TG273	Yes	Yellow Stuffer × LA1589	1	53.3	RFLP			
TG59	Yes	Yellow Stuffer × LA1589	1	57.8	RFLP			
CT191	Yes	Yellow Stuffer × LA1589	1	65.5	RFLP			
SL10018_198	No	Yellow Stuffer × LA1589	1	71.9	SNP			
TG465	Yes	Yellow Stuffer × LA1589	1	83.6	RFLP			
TG245	Yes	Yellow Stuffer × LA1589	1	90.6	RFLP			
TG255	Yes	Yellow Stuffer × LA1589	1	105.4	RFLP			
TG580	Yes	Yellow Stuffer × LA1589	1	115.8	RFLP			
SL10351_878	No	Yellow Stuffer × LA1589	2	0	SNP			
TG608	Yes	Yellow Stuffer × LA1589	2	1.6	RFLP			
CT205	Yes	Yellow Stuffer × LA1589	2	10.5	RFLP			
SL10190_576	No	Yellow Stuffer × LA1589	2	18.7	SNP			
TG165	Yes	Yellow Stuffer × LA1589	2	19.1	RFLP			
SL20141_109	No	Yellow Stuffer × LA1589	2	26	SNP			
SL10939_959	No	Yellow Stuffer × LA1589	2	28.7	SNP			
SL10050_734	No	Yellow Stuffer × LA1589	2	31.5	SNP			
TG14	Yes	Yellow Stuffer × LA1589	2	36.3	RFLP			
SL10346_156	No	Yellow Stuffer × LA1589	2	37.5	SNP			
CT244	Yes	Yellow Stuffer × LA1589	2	48.4	RFLP			
SL10390_312	No	Yellow Stuffer × LA1589	2	58.2	SNP			
TG645	Yes	Yellow Stuffer × LA1589	2	67.3	RFLP			
TG337	Yes	Yellow Stuffer × LA1589	2	72	RFLP			
TG537	Yes	Yellow Stuffer × LA1589	2	79.4	RFLP			
TG151	Yes	Yellow Stuffer × LA1589	2	87.1	RFLP			
TG154	Yes	Yellow Stuffer × LA1589	2	93.4	RFLP			
TG114	Yes	Yellow Stuffer × LA1589	3	0	RFLP			
TG130	Yes	Yellow Stuffer × LA1589	3	5.8	RFLP			
SL10790_382	No	Yellow Stuffer × LA1589	3	13.7	SNP			
CT141	Yes	Yellow Stuffer × LA1589	3	24.1	RFLP			
TG520	Yes	Yellow Stuffer × LA1589	3	32.6	RFLP			
SL10910_315	No	Yellow Stuffer × LA1589	3	40.9	SNP			
CT82	Yes	Yellow Stuffer × LA1589	3	44	RFLP			
CD51	Yes	Yellow Stuffer × LA1589	3	47	RFLP			
TG129	Yes	Yellow Stuffer × LA1589	3	59.8	RFLP			
SL10909_238	No	Yellow Stuffer × LA1589	3	69.6	SNP			
SL10019_376	No	Yellow Stuffer × LA1589	3	73.8	SNP			
SL10450_71	No	Yellow Stuffer × LA1589	3	74.9	SNP			
SL10385_302	No	Yellow Stuffer × LA1589	3	75.1	SNP			
CT85	Yes	Yellow Stuffer × LA1589	3	78.9	RFLP			
SL10494_706	No	Yellow Stuffer × LA1589	3	86.5	SNP			
SL10678_608	No	Yellow Stuffer × LA1589	3	90.4	SNP			
SL10003_496	No	Yellow Stuffer × LA1589	3	92	SNP			
SL10425_788	No	Yellow Stuffer × LA1589	3	97.2	SNP			
TG214	Yes	Yellow Stuffer × LA1589	3	97.5	RFLP			
TG15	Yes	Yellow Stuffer × LA1589	4	0	RFLP			
TG483	Yes	Yellow Stuffer × LA1589	4	18.2	RFLP			
SL10322_127	No	Yellow Stuffer × LA1589	4	31.8	SNP			
SL10347_1497	No	Yellow Stuffer × LA1589	4	35.5	SNP			
CT157	Yes	Yellow Stuffer × LA1589	4	35.6	RFLP			
SL10215_722	No	Yellow Stuffer × LA1589	4	44.1	SNP			
CT178	Yes	Yellow Stuffer × LA1589	4	48	RFLP			
SL10375_863	No	Yellow Stuffer × LA1589	4	71.7	SNP			
CT50	Yes	Yellow Stuffer × LA1589	4	97.8	RFLP			
TG163	Yes	Yellow Stuffer × LA1589	4	114.8	RFLP			
CT101	Yes	Yellow Stuffer × LA1589	5	0	RFLP			
TG441	Yes	Yellow Stuffer × LA1589	5	9.7	RFLP			
CT167	Yes	Yellow Stuffer × LA1589	5	15.4	RFLP			
SL10036_213	No	Yellow Stuffer × LA1589	5	16.1	SNP			
CT93	Yes	Yellow Stuffer × LA1589	5	30.8	RFLP			
TG96	Yes	Yellow Stuffer × LA1589	5	38.8	RFLP			
